"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR3037434","SRR2994384","NDSU1","SRR11101167","SRR12075372","SRR14766444","SRR5928153","SRR15712222","NDSU6","SRR14766361","SRR5985919","SRR14766386","SRR8041750","SRR28412153","SRR4292616"
"group_1543","","hypothetical protein",580,580,1,1,4394,NA,NA,"",689,776,775,"ENBCENPF_00969","KKCBMJKJ_03169","GEPIEMCB_03209","ELELPFCC_01980","OHGDDBEJ_02074","PJHKONLG_01219","BMGCDLMI_01385","JIDNIGFB_01597","LBKLGAEM_00853","MGNDMLEC_00185","CNEOHEEB_02688","OKEMFKGG_01391","EJCMFNNE_01538","IKEDIMNK_01554","OOMOJDPP_00556"
"ycaO","","Ribosomal protein S12 methylthiotransferase accessory factor YcaO",580,580,1,1,4377,NA,NA,"",1760,1835,1834,"ENBCENPF_00984","KKCBMJKJ_03184","GEPIEMCB_03224","ELELPFCC_01995","OHGDDBEJ_02089","PJHKONLG_01234","BMGCDLMI_01400","JIDNIGFB_01582","LBKLGAEM_00838","MGNDMLEC_00170","CNEOHEEB_02673","OKEMFKGG_01376","EJCMFNNE_01523","IKEDIMNK_01539","OOMOJDPP_00571"
"glnH","","Glutamine-binding periplasmic protein",580,580,1,1,4258,NA,NA,"",740,746,745,"ENBCENPF_04331","KKCBMJKJ_04093","GEPIEMCB_03332","ELELPFCC_04354","OHGDDBEJ_04212","PJHKONLG_03425","BMGCDLMI_04310","JIDNIGFB_01474","LBKLGAEM_00730","MGNDMLEC_00062","CNEOHEEB_04339","OKEMFKGG_01268","EJCMFNNE_03550","IKEDIMNK_01431","OOMOJDPP_02784"
"cbiA","","Cobyrinate a,c-diamide synthase",580,580,1,1,5695,NA,NA,"",1238,1379,1378,"ENBCENPF_03350","KKCBMJKJ_03568","GEPIEMCB_03413","ELELPFCC_02143","OHGDDBEJ_03697","PJHKONLG_02622","BMGCDLMI_02534","JIDNIGFB_03489","LBKLGAEM_03382","MGNDMLEC_03209","CNEOHEEB_03079","OKEMFKGG_03068","EJCMFNNE_03282","IKEDIMNK_03398","OOMOJDPP_02115"
"pduF","","Propanediol diffusion facilitator",580,580,1,1,5701,NA,NA,"",794,1148,794,"ENBCENPF_03347","KKCBMJKJ_03571","GEPIEMCB_03416","ELELPFCC_02146","OHGDDBEJ_03694","PJHKONLG_02625","BMGCDLMI_02537","JIDNIGFB_03492","LBKLGAEM_03379","MGNDMLEC_03206","CNEOHEEB_03076","OKEMFKGG_03065","EJCMFNNE_03279","IKEDIMNK_03395","OOMOJDPP_02112"
"cmpR","","HTH-type transcriptional activator CmpR",580,580,1,1,5927,NA,NA,"",788,863,862,"ENBCENPF_04169","KKCBMJKJ_02979","GEPIEMCB_03585","ELELPFCC_02315","OHGDDBEJ_03236","PJHKONLG_01341","BMGCDLMI_02706","JIDNIGFB_03661","LBKLGAEM_03210","MGNDMLEC_03037","CNEOHEEB_02907","OKEMFKGG_02896","EJCMFNNE_01825","IKEDIMNK_03226","OOMOJDPP_00984"
"yeiP","","Elongation factor P-like protein",580,580,1,1,5939,NA,NA,"",320,572,571,"ENBCENPF_04178","KKCBMJKJ_02988","GEPIEMCB_03594","ELELPFCC_02324","OHGDDBEJ_03226","PJHKONLG_04382","BMGCDLMI_02715","JIDNIGFB_03671","LBKLGAEM_03200","MGNDMLEC_03027","CNEOHEEB_02897","OKEMFKGG_02886","EJCMFNNE_01815","IKEDIMNK_03216","OOMOJDPP_00993"
"ybbH","","putative HTH-type transcriptional regulator YbbH",580,580,1,1,4549,NA,NA,"",650,881,880,"ENBCENPF_00831","KKCBMJKJ_01842","GEPIEMCB_03688","ELELPFCC_01842","OHGDDBEJ_01935","PJHKONLG_04138","BMGCDLMI_01247","JIDNIGFB_01736","LBKLGAEM_00991","MGNDMLEC_00323","CNEOHEEB_02826","OKEMFKGG_01529","EJCMFNNE_03440","IKEDIMNK_01692","OOMOJDPP_02569"
"otsB","","Trehalose-6-phosphate phosphatase",580,580,1,1,4661,NA,NA,"",803,902,901,"ENBCENPF_00725","KKCBMJKJ_01948","GEPIEMCB_03794","ELELPFCC_03807","OHGDDBEJ_03847","PJHKONLG_00770","BMGCDLMI_01141","JIDNIGFB_01842","LBKLGAEM_01097","MGNDMLEC_00429","CNEOHEEB_03855","OKEMFKGG_01635","EJCMFNNE_03906","IKEDIMNK_01798","OOMOJDPP_02216"
"cheA","","Chemotaxis protein CheA",580,580,1,1,4668,NA,NA,"",1190,2015,2013,"ENBCENPF_00718","KKCBMJKJ_01955","GEPIEMCB_03801","ELELPFCC_03800","OHGDDBEJ_03840","PJHKONLG_00777","BMGCDLMI_01134","JIDNIGFB_01849","LBKLGAEM_01104","MGNDMLEC_00436","CNEOHEEB_03862","OKEMFKGG_01642","EJCMFNNE_03899","IKEDIMNK_01805","OOMOJDPP_02223"
"mrdA_1","","Peptidoglycan D,D-transpeptidase MrdA",580,580,1,1,4679,NA,NA,"",491,1871,1868,"ENBCENPF_00707","KKCBMJKJ_01966","GEPIEMCB_03812","ELELPFCC_03789","OHGDDBEJ_03829","PJHKONLG_00788","BMGCDLMI_01123","JIDNIGFB_01860","LBKLGAEM_01115","MGNDMLEC_00447","CNEOHEEB_03873","OKEMFKGG_01653","EJCMFNNE_03888","IKEDIMNK_01816","OOMOJDPP_02234"
"cutC_1","","Copper homeostasis protein CutC",580,580,1,1,4682,NA,NA,"",263,746,745,"ENBCENPF_00704","KKCBMJKJ_01969","GEPIEMCB_03815","ELELPFCC_03786","OHGDDBEJ_03826","PJHKONLG_00791","BMGCDLMI_01120","JIDNIGFB_01863","LBKLGAEM_01118","MGNDMLEC_00450","CNEOHEEB_03876","OKEMFKGG_01656","EJCMFNNE_03885","IKEDIMNK_01819","OOMOJDPP_02237"
"aspS","","Aspartate--tRNA ligase",580,580,1,1,4688,NA,NA,"",311,1772,1769,"ENBCENPF_00698","KKCBMJKJ_01975","GEPIEMCB_03821","ELELPFCC_03780","OHGDDBEJ_03820","PJHKONLG_00797","BMGCDLMI_01114","JIDNIGFB_01869","LBKLGAEM_01124","MGNDMLEC_00456","CNEOHEEB_03882","OKEMFKGG_01662","EJCMFNNE_03879","IKEDIMNK_01825","OOMOJDPP_02243"
"zwf","","Glucose-6-phosphate 1-dehydrogenase",580,580,1,1,4706,NA,NA,"",191,1475,1472,"ENBCENPF_00682","KKCBMJKJ_01991","GEPIEMCB_03837","ELELPFCC_03764","OHGDDBEJ_03804","PJHKONLG_00813","BMGCDLMI_01098","JIDNIGFB_01885","LBKLGAEM_01140","MGNDMLEC_00472","CNEOHEEB_03898","OKEMFKGG_01678","EJCMFNNE_03863","IKEDIMNK_01841","OOMOJDPP_04358"
"cptA","","Phosphoethanolamine transferase CptA",580,580,1,1,2158,NA,NA,"",1436,1733,1732,"ENBCENPF_03633","KKCBMJKJ_04369","GEPIEMCB_04013","ELELPFCC_03387","OHGDDBEJ_03486","PJHKONLG_02476","BMGCDLMI_03878","JIDNIGFB_04214","LBKLGAEM_04014","MGNDMLEC_04407","CNEOHEEB_04361","OKEMFKGG_03942","EJCMFNNE_02853","IKEDIMNK_03978","OOMOJDPP_03892"
"gldA_2","","Glycerol dehydrogenase",580,580,1,1,2168,NA,NA,"",536,1103,1102,"ENBCENPF_03642","KKCBMJKJ_04378","GEPIEMCB_04022","ELELPFCC_03396","OHGDDBEJ_03477","PJHKONLG_02467","BMGCDLMI_03887","JIDNIGFB_04205","LBKLGAEM_04023","MGNDMLEC_04416","CNEOHEEB_04370","OKEMFKGG_03933","EJCMFNNE_02844","IKEDIMNK_03987","OOMOJDPP_03901"
"ftsN","","Cell division protein FtsN",580,580,1,1,2188,NA,NA,"",863,881,880,"ENBCENPF_03662","KKCBMJKJ_04295","GEPIEMCB_04042","ELELPFCC_03416","OHGDDBEJ_03457","PJHKONLG_02447","BMGCDLMI_03907","JIDNIGFB_04185","LBKLGAEM_04043","MGNDMLEC_04236","CNEOHEEB_03916","OKEMFKGG_03913","EJCMFNNE_02824","IKEDIMNK_04007","OOMOJDPP_03838"
"group_165","","hypothetical protein",580,580,1,1,668,NA,NA,"",548,1511,1502,"ENBCENPF_01994","KKCBMJKJ_01263","GEPIEMCB_01602","ELELPFCC_01304","OHGDDBEJ_02651","PJHKONLG_00641","BMGCDLMI_01691","JIDNIGFB_03206","LBKLGAEM_02983","MGNDMLEC_03493","CNEOHEEB_02436","OKEMFKGG_03217","EJCMFNNE_02734","IKEDIMNK_02769","OOMOJDPP_00191"
"clcD","","Carboxymethylenebutenolidase",580,580,1,1,3293,NA,NA,"",689,755,692,"ENBCENPF_04102","KKCBMJKJ_03779","GEPIEMCB_04211","ELELPFCC_03997","OHGDDBEJ_04065","PJHKONLG_02834","BMGCDLMI_04163","JIDNIGFB_04246","LBKLGAEM_04213","MGNDMLEC_03904","CNEOHEEB_04144","OKEMFKGG_04168","EJCMFNNE_03391","IKEDIMNK_04176","OOMOJDPP_04304"
"mnmG","","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG",580,580,1,1,1376,NA,NA,"",518,1889,1886,"ENBCENPF_04218","KKCBMJKJ_03813","GEPIEMCB_04345","ELELPFCC_04079","OHGDDBEJ_04099","PJHKONLG_03206","BMGCDLMI_04234","JIDNIGFB_04328","LBKLGAEM_04247","MGNDMLEC_03938","CNEOHEEB_04226","OKEMFKGG_04202","EJCMFNNE_03489","IKEDIMNK_04247","OOMOJDPP_02595"
"fepE","","Ferric enterobactin transport protein FepE",580,580,1,1,422,NA,NA,"",581,1136,1129,"ENBCENPF_03792","KKCBMJKJ_03042","GEPIEMCB_01810","ELELPFCC_03635","OHGDDBEJ_03616","PJHKONLG_03249","BMGCDLMI_03362","JIDNIGFB_04061","LBKLGAEM_03973","MGNDMLEC_03805","CNEOHEEB_03766","OKEMFKGG_04072","EJCMFNNE_02409","IKEDIMNK_03629","OOMOJDPP_04076"
"group_1697","","hypothetical protein",580,580,1,1,3670,NA,NA,"",728,1130,1129,"ENBCENPF_04504","KKCBMJKJ_04317","GEPIEMCB_04588","ELELPFCC_04429","OHGDDBEJ_04362","PJHKONLG_00843","BMGCDLMI_04458","JIDNIGFB_04521","LBKLGAEM_04514","MGNDMLEC_04355","CNEOHEEB_04525","OKEMFKGG_04442","EJCMFNNE_04238","IKEDIMNK_04425","OOMOJDPP_03969"
"group_1698","","hypothetical protein",580,580,1,1,3660,NA,NA,"",278,335,334,"ENBCENPF_04514","KKCBMJKJ_04327","GEPIEMCB_04598","ELELPFCC_04439","OHGDDBEJ_04352","PJHKONLG_00853","BMGCDLMI_04448","JIDNIGFB_04531","LBKLGAEM_04504","MGNDMLEC_04365","CNEOHEEB_04515","OKEMFKGG_04452","EJCMFNNE_04228","IKEDIMNK_04435","OOMOJDPP_03979"
"group_1699","","hypothetical protein",580,580,1,1,3658,NA,NA,"",338,500,499,"ENBCENPF_04516","KKCBMJKJ_04329","GEPIEMCB_04600","ELELPFCC_04441","OHGDDBEJ_04350","PJHKONLG_00855","BMGCDLMI_04446","JIDNIGFB_04533","LBKLGAEM_04502","MGNDMLEC_04367","CNEOHEEB_04513","OKEMFKGG_04454","EJCMFNNE_04226","IKEDIMNK_04437","OOMOJDPP_03981"
"rpoC","","DNA-directed RNA polymerase subunit beta'",580,580,1,1,1542,NA,NA,"",1799,4223,4218,"ENBCENPF_04551","KKCBMJKJ_04456","GEPIEMCB_04738","ELELPFCC_04620","OHGDDBEJ_04508","PJHKONLG_04548","BMGCDLMI_04486","JIDNIGFB_04568","LBKLGAEM_04624","MGNDMLEC_04518","CNEOHEEB_04559","OKEMFKGG_04578","EJCMFNNE_04595","IKEDIMNK_04529","OOMOJDPP_04486"
"rplJ","","50S ribosomal protein L10",580,580,1,1,1546,NA,NA,"",497,533,497,"ENBCENPF_04548","KKCBMJKJ_04459","GEPIEMCB_04741","ELELPFCC_04617","OHGDDBEJ_04505","PJHKONLG_04545","BMGCDLMI_04483","JIDNIGFB_04565","LBKLGAEM_04621","MGNDMLEC_04515","CNEOHEEB_04562","OKEMFKGG_04575","EJCMFNNE_04598","IKEDIMNK_04532","OOMOJDPP_04489"
"bfr","","Bacterioferritin",580,580,1,1,1603,NA,NA,"",119,476,475,"ENBCENPF_04574","KKCBMJKJ_04578","GEPIEMCB_04747","ELELPFCC_01146","OHGDDBEJ_04531","PJHKONLG_03644","BMGCDLMI_01040","JIDNIGFB_04591","LBKLGAEM_04647","MGNDMLEC_04584","CNEOHEEB_04568","OKEMFKGG_04601","EJCMFNNE_03952","IKEDIMNK_04538","OOMOJDPP_03443"
"rplO","","50S ribosomal protein L15",580,580,1,1,1581,NA,NA,"",272,434,433,"ENBCENPF_04596","KKCBMJKJ_04556","GEPIEMCB_04769","ELELPFCC_01168","OHGDDBEJ_04553","PJHKONLG_03666","BMGCDLMI_01062","JIDNIGFB_04613","LBKLGAEM_04669","MGNDMLEC_04562","CNEOHEEB_04590","OKEMFKGG_04623","EJCMFNNE_03930","IKEDIMNK_04560","OOMOJDPP_03421"
"smg","","Protein Smg",580,580,1,1,1563,NA,NA,"",473,578,473,"ENBCENPF_04613","KKCBMJKJ_04539","GEPIEMCB_04786","ELELPFCC_01185","OHGDDBEJ_04570","PJHKONLG_03683","BMGCDLMI_01079","JIDNIGFB_04630","LBKLGAEM_04686","MGNDMLEC_04545","CNEOHEEB_04607","OKEMFKGG_04640","EJCMFNNE_03913","IKEDIMNK_04577","OOMOJDPP_03404"
"ubiD","","3-octaprenyl-4-hydroxybenzoate carboxy-lyase",580,580,1,1,3282,NA,NA,"",635,1508,1476,"ENBCENPF_04113","KKCBMJKJ_03790","GEPIEMCB_04222","ELELPFCC_03986","OHGDDBEJ_04076","PJHKONLG_02845","BMGCDLMI_04174","JIDNIGFB_04235","LBKLGAEM_04224","MGNDMLEC_03915","CNEOHEEB_04133","OKEMFKGG_04179","EJCMFNNE_03402","IKEDIMNK_04187","OOMOJDPP_04293"
"group_1873","","hypothetical protein",580,580,1,1,4730,NA,NA,"",614,614,614,"ENBCENPF_01090","KKCBMJKJ_04647","GEPIEMCB_00008","ELELPFCC_00841","OHGDDBEJ_01514","PJHKONLG_04251","BMGCDLMI_04534","JIDNIGFB_00008","LBKLGAEM_01161","MGNDMLEC_00494","CNEOHEEB_01510","OKEMFKGG_01199","EJCMFNNE_00398","IKEDIMNK_00734","OOMOJDPP_04562"
"group_1874","","hypothetical protein",580,580,1,1,4731,NA,NA,"",158,158,158,"ENBCENPF_01091","KKCBMJKJ_04646","GEPIEMCB_00009","ELELPFCC_00840","OHGDDBEJ_01513","PJHKONLG_04250","BMGCDLMI_04533","JIDNIGFB_00009","LBKLGAEM_01162","MGNDMLEC_00495","CNEOHEEB_01509","OKEMFKGG_01198","EJCMFNNE_00397","IKEDIMNK_00733","OOMOJDPP_04561"
"group_1875","","hypothetical protein",580,580,1,1,4732,NA,NA,"",665,665,665,"ENBCENPF_01092","KKCBMJKJ_04645","GEPIEMCB_00010","ELELPFCC_00839","OHGDDBEJ_01512","PJHKONLG_04249","BMGCDLMI_04532","JIDNIGFB_00010","LBKLGAEM_01163","MGNDMLEC_00496","CNEOHEEB_01508","OKEMFKGG_01197","EJCMFNNE_00396","IKEDIMNK_00732","OOMOJDPP_04560"
"group_1877","","IS256 family transposase IS285",580,580,1,1,4734,NA,NA,"",857,857,857,"ENBCENPF_01094","KKCBMJKJ_04031","GEPIEMCB_00012","ELELPFCC_00837","OHGDDBEJ_01510","PJHKONLG_04247","BMGCDLMI_04530","JIDNIGFB_00012","LBKLGAEM_01165","MGNDMLEC_00498","CNEOHEEB_01506","OKEMFKGG_01195","EJCMFNNE_00394","IKEDIMNK_00730","OOMOJDPP_04558"
"group_1878","","hypothetical protein",580,580,1,1,4735,NA,NA,"",146,146,146,"ENBCENPF_01095","KKCBMJKJ_04030","GEPIEMCB_00013","ELELPFCC_00836","OHGDDBEJ_01509","PJHKONLG_04246","BMGCDLMI_04529","JIDNIGFB_00013","LBKLGAEM_01166","MGNDMLEC_00499","CNEOHEEB_01505","OKEMFKGG_01194","EJCMFNNE_00393","IKEDIMNK_00729","OOMOJDPP_04557"
"group_1879","","hypothetical protein",580,580,1,1,4737,NA,NA,"",476,476,476,"ENBCENPF_01097","KKCBMJKJ_04028","GEPIEMCB_00015","ELELPFCC_00834","OHGDDBEJ_01507","PJHKONLG_04244","BMGCDLMI_04527","JIDNIGFB_00015","LBKLGAEM_01168","MGNDMLEC_00501","CNEOHEEB_01503","OKEMFKGG_01192","EJCMFNNE_00391","IKEDIMNK_00727","OOMOJDPP_04555"
"group_1882","","hypothetical protein",580,580,1,1,4741,NA,NA,"",233,233,233,"ENBCENPF_01101","KKCBMJKJ_04024","GEPIEMCB_00019","ELELPFCC_00830","OHGDDBEJ_01503","PJHKONLG_04240","BMGCDLMI_04523","JIDNIGFB_00019","LBKLGAEM_01172","MGNDMLEC_00505","CNEOHEEB_01499","OKEMFKGG_01188","EJCMFNNE_00387","IKEDIMNK_00723","OOMOJDPP_04484"
"sdaA_1","","L-serine dehydratase 1",580,580,1,1,4770,NA,NA,"",1364,1364,1364,"ENBCENPF_01128","KKCBMJKJ_03998","GEPIEMCB_00046","ELELPFCC_00804","OHGDDBEJ_01477","PJHKONLG_03758","BMGCDLMI_03717","JIDNIGFB_00046","LBKLGAEM_01199","MGNDMLEC_00532","CNEOHEEB_01473","OKEMFKGG_01162","EJCMFNNE_00361","IKEDIMNK_00697","OOMOJDPP_03703"
"chaB","","Putative cation transport regulator ChaB",580,580,1,1,4829,NA,NA,"",230,230,230,"ENBCENPF_01186","KKCBMJKJ_02224","GEPIEMCB_00103","ELELPFCC_00747","OHGDDBEJ_01420","PJHKONLG_04054","BMGCDLMI_03660","JIDNIGFB_00104","LBKLGAEM_01256","MGNDMLEC_00589","CNEOHEEB_01416","OKEMFKGG_01105","EJCMFNNE_00304","IKEDIMNK_00639","OOMOJDPP_01307"
"narJ","","Nitrate reductase molybdenum cofactor assembly chaperone NarJ",580,580,1,1,4837,NA,NA,"",710,710,710,"ENBCENPF_01194","KKCBMJKJ_02216","GEPIEMCB_00111","ELELPFCC_00739","OHGDDBEJ_01412","PJHKONLG_04062","BMGCDLMI_03652","JIDNIGFB_00112","LBKLGAEM_01264","MGNDMLEC_00597","CNEOHEEB_01408","OKEMFKGG_01097","EJCMFNNE_00296","IKEDIMNK_00631","OOMOJDPP_01299"
"galU","","UTP--glucose-1-phosphate uridylyltransferase",580,580,1,1,4844,NA,NA,"",908,908,908,"ENBCENPF_01203","KKCBMJKJ_02207","GEPIEMCB_00120","ELELPFCC_00730","OHGDDBEJ_01403","PJHKONLG_04071","BMGCDLMI_03643","JIDNIGFB_00121","LBKLGAEM_01273","MGNDMLEC_00606","CNEOHEEB_01399","OKEMFKGG_01088","EJCMFNNE_00287","IKEDIMNK_00622","OOMOJDPP_01290"
"adhE_1","","Aldehyde-alcohol dehydrogenase",580,580,1,1,4847,NA,NA,"",2678,2678,2678,"ENBCENPF_01206","KKCBMJKJ_02204","GEPIEMCB_00123","ELELPFCC_00727","OHGDDBEJ_01400","PJHKONLG_04074","BMGCDLMI_03640","JIDNIGFB_00124","LBKLGAEM_01276","MGNDMLEC_00609","CNEOHEEB_01396","OKEMFKGG_01085","EJCMFNNE_00284","IKEDIMNK_00619","OOMOJDPP_01287"
"group_1898","","hypothetical protein",580,580,1,1,4857,NA,NA,"",329,329,329,"ENBCENPF_01214","KKCBMJKJ_02196","GEPIEMCB_00131","ELELPFCC_00719","OHGDDBEJ_01392","PJHKONLG_01914","BMGCDLMI_03632","JIDNIGFB_00132","LBKLGAEM_01284","MGNDMLEC_00617","CNEOHEEB_01388","OKEMFKGG_01077","EJCMFNNE_00276","IKEDIMNK_00611","OOMOJDPP_01279"
"group_1899","","hypothetical protein",580,580,1,1,4870,NA,NA,"",182,182,182,"ENBCENPF_01227","KKCBMJKJ_02183","GEPIEMCB_00144","ELELPFCC_00706","OHGDDBEJ_01379","PJHKONLG_01901","BMGCDLMI_03619","JIDNIGFB_00145","LBKLGAEM_01297","MGNDMLEC_00630","CNEOHEEB_01375","OKEMFKGG_01064","EJCMFNNE_00263","IKEDIMNK_00598","OOMOJDPP_01266"
"trpA","","Tryptophan synthase alpha chain",580,580,1,1,4871,NA,NA,"",806,806,806,"ENBCENPF_01228","KKCBMJKJ_02182","GEPIEMCB_00145","ELELPFCC_00705","OHGDDBEJ_01378","PJHKONLG_01900","BMGCDLMI_03618","JIDNIGFB_00146","LBKLGAEM_01298","MGNDMLEC_00631","CNEOHEEB_01374","OKEMFKGG_01063","EJCMFNNE_00262","IKEDIMNK_00597","OOMOJDPP_01265"
"trpC","","Tryptophan biosynthesis protein TrpCF",580,580,1,1,4873,NA,NA,"",1358,1358,1358,"ENBCENPF_01230","KKCBMJKJ_02180","GEPIEMCB_00147","ELELPFCC_00703","OHGDDBEJ_01376","PJHKONLG_01898","BMGCDLMI_03616","JIDNIGFB_00148","LBKLGAEM_01300","MGNDMLEC_00633","CNEOHEEB_01372","OKEMFKGG_01061","EJCMFNNE_00260","IKEDIMNK_00595","OOMOJDPP_01263"
"btuR","","Corrinoid adenosyltransferase",580,580,1,1,4880,NA,NA,"",590,590,590,"ENBCENPF_01236","KKCBMJKJ_02174","GEPIEMCB_00153","ELELPFCC_00697","OHGDDBEJ_01370","PJHKONLG_01892","BMGCDLMI_03610","JIDNIGFB_00154","LBKLGAEM_01306","MGNDMLEC_00639","CNEOHEEB_01366","OKEMFKGG_01055","EJCMFNNE_00254","IKEDIMNK_00589","OOMOJDPP_01257"
"ygdR_1","","putative lipoprotein YgdR",580,580,1,1,4930,NA,NA,"",236,236,236,"ENBCENPF_01283","KKCBMJKJ_02127","GEPIEMCB_00200","ELELPFCC_00650","OHGDDBEJ_01323","PJHKONLG_01845","BMGCDLMI_03190","JIDNIGFB_00202","LBKLGAEM_01353","MGNDMLEC_00686","CNEOHEEB_01319","OKEMFKGG_01008","EJCMFNNE_00207","IKEDIMNK_00542","OOMOJDPP_01210"
"group_1904","","hypothetical protein",580,580,1,1,4938,NA,NA,"",338,338,338,"ENBCENPF_01290","KKCBMJKJ_02120","GEPIEMCB_00207","ELELPFCC_00643","OHGDDBEJ_01316","PJHKONLG_01838","BMGCDLMI_03183","JIDNIGFB_00209","LBKLGAEM_01360","MGNDMLEC_00693","CNEOHEEB_01312","OKEMFKGG_01001","EJCMFNNE_00200","IKEDIMNK_00535","OOMOJDPP_01203"
"uspE","","Universal stress protein E",580,580,1,1,4943,NA,NA,"",947,947,947,"ENBCENPF_01295","KKCBMJKJ_02115","GEPIEMCB_00212","ELELPFCC_00638","OHGDDBEJ_01311","PJHKONLG_01833","BMGCDLMI_03178","JIDNIGFB_00214","LBKLGAEM_01365","MGNDMLEC_00698","CNEOHEEB_01307","OKEMFKGG_00996","EJCMFNNE_00195","IKEDIMNK_00530","OOMOJDPP_01198"
"ogt","","Methylated-DNA--protein-cysteine methyltransferase",580,580,1,1,4947,NA,NA,"",515,515,515,"ENBCENPF_01297","KKCBMJKJ_02113","GEPIEMCB_00214","ELELPFCC_00636","OHGDDBEJ_01309","PJHKONLG_01831","BMGCDLMI_03176","JIDNIGFB_00216","LBKLGAEM_01367","MGNDMLEC_00700","CNEOHEEB_01305","OKEMFKGG_00994","EJCMFNNE_00193","IKEDIMNK_00528","OOMOJDPP_01196"
"group_1908","","hypothetical protein",580,580,1,1,4962,NA,NA,"",191,191,191,"ENBCENPF_01310","KKCBMJKJ_02100","GEPIEMCB_00227","ELELPFCC_00623","OHGDDBEJ_01296","PJHKONLG_01818","BMGCDLMI_03163","JIDNIGFB_00229","LBKLGAEM_01380","MGNDMLEC_00713","CNEOHEEB_01292","OKEMFKGG_00981","EJCMFNNE_00180","IKEDIMNK_00515","OOMOJDPP_01183"
"group_1909","","hypothetical protein",580,580,1,1,4964,NA,NA,"",449,449,449,"ENBCENPF_01312","KKCBMJKJ_02098","GEPIEMCB_00229","ELELPFCC_00621","OHGDDBEJ_01294","PJHKONLG_01816","BMGCDLMI_03161","JIDNIGFB_00231","LBKLGAEM_01382","MGNDMLEC_00715","CNEOHEEB_01290","OKEMFKGG_00979","EJCMFNNE_00178","IKEDIMNK_00513","OOMOJDPP_01181"
"azoR","","FMN-dependent NADH-azoreductase",580,580,1,1,4965,NA,NA,"",605,605,605,"ENBCENPF_01313","KKCBMJKJ_02097","GEPIEMCB_00230","ELELPFCC_00620","OHGDDBEJ_01293","PJHKONLG_01815","BMGCDLMI_03160","JIDNIGFB_00232","LBKLGAEM_01383","MGNDMLEC_00716","CNEOHEEB_01289","OKEMFKGG_00978","EJCMFNNE_00177","IKEDIMNK_00512","OOMOJDPP_01180"
"ydcF","","Protein YdcF",580,580,1,1,4967,NA,NA,"",800,800,800,"ENBCENPF_01315","KKCBMJKJ_02095","GEPIEMCB_00232","ELELPFCC_00618","OHGDDBEJ_01291","PJHKONLG_01813","BMGCDLMI_03158","JIDNIGFB_00234","LBKLGAEM_01385","MGNDMLEC_00718","CNEOHEEB_01287","OKEMFKGG_00976","EJCMFNNE_00175","IKEDIMNK_00510","OOMOJDPP_01178"
"group_1913","","hypothetical protein",580,580,1,1,4971,NA,NA,"",95,95,95,"ENBCENPF_01318","KKCBMJKJ_02092","GEPIEMCB_00235","ELELPFCC_00615","OHGDDBEJ_01288","PJHKONLG_01810","BMGCDLMI_03155","JIDNIGFB_00237","LBKLGAEM_01388","MGNDMLEC_00721","CNEOHEEB_01284","OKEMFKGG_00973","EJCMFNNE_00172","IKEDIMNK_00507","OOMOJDPP_02794"
"yecS_2","","L-cystine transport system permease protein YecS",580,580,1,1,4973,NA,NA,"",680,680,680,"ENBCENPF_01320","KKCBMJKJ_02090","GEPIEMCB_00237","ELELPFCC_00613","OHGDDBEJ_01286","PJHKONLG_01808","BMGCDLMI_03153","JIDNIGFB_00239","LBKLGAEM_01390","MGNDMLEC_00723","CNEOHEEB_01282","OKEMFKGG_00971","EJCMFNNE_00170","IKEDIMNK_00505","OOMOJDPP_02796"
"group_1916","","hypothetical protein",580,580,1,1,4977,NA,NA,"Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits",230,230,230,"ENBCENPF_01324","KKCBMJKJ_02086","GEPIEMCB_00241","ELELPFCC_00609","OHGDDBEJ_01282","PJHKONLG_01804","BMGCDLMI_03149","JIDNIGFB_00243","LBKLGAEM_01394","MGNDMLEC_00727","CNEOHEEB_01278","OKEMFKGG_00967","EJCMFNNE_00166","IKEDIMNK_00501","OOMOJDPP_02800"
"frmA","","S-(hydroxymethyl)glutathione dehydrogenase",580,580,1,1,4984,NA,NA,"",1118,1118,1118,"ENBCENPF_01330","KKCBMJKJ_02080","GEPIEMCB_00247","ELELPFCC_00603","OHGDDBEJ_01276","PJHKONLG_03491","BMGCDLMI_03143","JIDNIGFB_00249","LBKLGAEM_01400","MGNDMLEC_00733","CNEOHEEB_01272","OKEMFKGG_00961","EJCMFNNE_00160","IKEDIMNK_00495","OOMOJDPP_02806"
"tehB","","Tellurite methyltransferase",580,580,1,1,5007,NA,NA,"",596,596,596,"ENBCENPF_01349","KKCBMJKJ_02061","GEPIEMCB_00266","ELELPFCC_00584","OHGDDBEJ_01257","PJHKONLG_03472","BMGCDLMI_03124","JIDNIGFB_00268","LBKLGAEM_01419","MGNDMLEC_00752","CNEOHEEB_01253","OKEMFKGG_00942","EJCMFNNE_00141","IKEDIMNK_00476","OOMOJDPP_02825"
