"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR16297816","SRR7010475","SRR12075372","SRR5905519","SRR28412124","SRR14766397","SRR27714943","SRR8728075","SRR14766394","SRR5883582","NDSU24","SRR14766350","NDSU10","SRR18233386","SRR27708439"
"group_949","","hypothetical protein",581,581,1,1,4144,NA,NA,"",323,959,957,"IIHPGJAB_02798","IMMEOONP_02505","OHGDDBEJ_02877","OAAFEBHG_02203","NGHPPALG_02797","CDEANNNL_02157","APJAPAOH_02798","EDHNKBAJ_02200","AHAJJFKC_04218","HGPPELBO_02022","DFEIMHLH_02974","KNJLKBEO_01928","PGKCJFEA_00458","OKDIKGGJ_02642","JJJDFGFB_02979"
"hscA","","Chaperone protein HscA",581,581,1,1,4116,NA,NA,"",995,1850,1848,"IIHPGJAB_02772","IMMEOONP_02479","OHGDDBEJ_02851","OAAFEBHG_02229","NGHPPALG_02771","CDEANNNL_02131","APJAPAOH_02772","EDHNKBAJ_03484","AHAJJFKC_00804","HGPPELBO_01996","DFEIMHLH_02948","KNJLKBEO_01954","PGKCJFEA_00484","OKDIKGGJ_02668","JJJDFGFB_03005"
"asrA","","Anaerobic sulfite reductase subunit A",581,581,1,1,4107,NA,NA,"",866,1043,1039,"IIHPGJAB_02763","IMMEOONP_02470","OHGDDBEJ_02842","OAAFEBHG_02238","NGHPPALG_02762","CDEANNNL_02122","APJAPAOH_02763","EDHNKBAJ_03493","AHAJJFKC_00795","HGPPELBO_01987","DFEIMHLH_02939","KNJLKBEO_03963","PGKCJFEA_00493","OKDIKGGJ_02677","JJJDFGFB_03014"
"dmsC_2","","Anaerobic dimethyl sulfoxide reductase chain C",581,581,1,1,4369,NA,NA,"",770,863,862,"IIHPGJAB_01737","IMMEOONP_00992","OHGDDBEJ_02097","OAAFEBHG_04412","NGHPPALG_01736","CDEANNNL_00947","APJAPAOH_01576","EDHNKBAJ_01294","AHAJJFKC_02234","HGPPELBO_03739","DFEIMHLH_03288","KNJLKBEO_00856","PGKCJFEA_03336","OKDIKGGJ_00830","JJJDFGFB_01735"
"group_965","","Electron transfer flavoprotein-ubiquinone oxidoreductase",581,581,1,1,4294,NA,NA,"",1184,1685,1681,"IIHPGJAB_01805","IMMEOONP_01060","OHGDDBEJ_02165","OAAFEBHG_03439","NGHPPALG_01804","CDEANNNL_00879","APJAPAOH_01508","EDHNKBAJ_01226","AHAJJFKC_03661","HGPPELBO_03671","DFEIMHLH_03356","KNJLKBEO_00788","PGKCJFEA_00396","OKDIKGGJ_00762","JJJDFGFB_01803"
"ybiV_2","","Sugar phosphatase YbiV",581,581,1,1,4273,NA,NA,"",434,809,808,"IIHPGJAB_01823","IMMEOONP_01078","OHGDDBEJ_02183","OAAFEBHG_03421","NGHPPALG_01822","CDEANNNL_00861","APJAPAOH_01490","EDHNKBAJ_01208","AHAJJFKC_04126","HGPPELBO_03653","DFEIMHLH_03374","KNJLKBEO_00770","PGKCJFEA_00414","OKDIKGGJ_00744","JJJDFGFB_01821"
"group_973","","hypothetical protein",581,581,1,1,4237,NA,NA,"",323,602,601,"IIHPGJAB_01858","IMMEOONP_01113","OHGDDBEJ_04191","OAAFEBHG_03386","NGHPPALG_01857","CDEANNNL_04347","APJAPAOH_01455","EDHNKBAJ_04103","AHAJJFKC_01941","HGPPELBO_03618","DFEIMHLH_03409","KNJLKBEO_03695","PGKCJFEA_01537","OKDIKGGJ_00709","JJJDFGFB_01856"
"group_979","","hypothetical protein",581,581,1,1,4204,NA,NA,"",515,908,907,"IIHPGJAB_01889","IMMEOONP_01144","OHGDDBEJ_04160","OAAFEBHG_03355","NGHPPALG_01888","CDEANNNL_04378","APJAPAOH_01424","EDHNKBAJ_04072","AHAJJFKC_01910","HGPPELBO_03587","DFEIMHLH_03440","KNJLKBEO_03726","PGKCJFEA_01568","OKDIKGGJ_00678","JJJDFGFB_01887"
"cbiH","","putative cobalt-factor III C(17)-methyltransferase",581,581,1,1,5686,NA,NA,"",401,725,723,"IIHPGJAB_03615","IMMEOONP_03661","OHGDDBEJ_03705","OAAFEBHG_02742","NGHPPALG_03612","CDEANNNL_03181","APJAPAOH_03448","EDHNKBAJ_04418","AHAJJFKC_03584","HGPPELBO_03176","DFEIMHLH_03987","KNJLKBEO_04185","PGKCJFEA_03965","OKDIKGGJ_03486","JJJDFGFB_03613"
"mdtA","","Multidrug resistance protein MdtA",581,581,1,1,5798,NA,NA,"",785,1241,1239,"IIHPGJAB_03511","IMMEOONP_03557","OHGDDBEJ_03312","OAAFEBHG_02846","NGHPPALG_03508","CDEANNNL_03285","APJAPAOH_03552","EDHNKBAJ_02505","AHAJJFKC_00275","HGPPELBO_03072","DFEIMHLH_03883","KNJLKBEO_03225","PGKCJFEA_01003","OKDIKGGJ_03590","JJJDFGFB_03509"
"group_997","","hypothetical protein",581,581,1,1,5923,NA,NA,"",707,887,886,"IIHPGJAB_03439","IMMEOONP_03485","OHGDDBEJ_03240","OAAFEBHG_02918","NGHPPALG_03436","CDEANNNL_03357","APJAPAOH_03624","EDHNKBAJ_02433","AHAJJFKC_00203","HGPPELBO_03000","DFEIMHLH_04483","KNJLKBEO_03761","PGKCJFEA_01075","OKDIKGGJ_03662","JJJDFGFB_03437"
"group_998","","hypothetical protein",581,581,1,1,5928,NA,NA,"",887,1049,1048,"IIHPGJAB_03434","IMMEOONP_03480","OHGDDBEJ_03235","OAAFEBHG_02923","NGHPPALG_03431","CDEANNNL_03362","APJAPAOH_03629","EDHNKBAJ_02428","AHAJJFKC_00198","HGPPELBO_02995","DFEIMHLH_04488","KNJLKBEO_03766","PGKCJFEA_01080","OKDIKGGJ_03667","JJJDFGFB_03432"
"hprR","","Transcriptional regulatory protein HprR",580,580,1,1,4512,NA,NA,"",605,737,736,"IIHPGJAB_01606","IMMEOONP_00862","OHGDDBEJ_01966","OAAFEBHG_04464","NGHPPALG_01606","CDEANNNL_01077","APJAPAOH_01706","EDHNKBAJ_01424","AHAJJFKC_04446","HGPPELBO_03480","DFEIMHLH_04232","KNJLKBEO_00987","PGKCJFEA_01770","OKDIKGGJ_00961","JJJDFGFB_01605"
"group_1008","","hypothetical protein",580,580,1,1,4573,NA,NA,"",641,1286,1283,"IIHPGJAB_01551","IMMEOONP_00807","OHGDDBEJ_01911","OAAFEBHG_03292","NGHPPALG_01551","CDEANNNL_01132","APJAPAOH_01761","EDHNKBAJ_01479","AHAJJFKC_03952","HGPPELBO_03425","DFEIMHLH_03698","KNJLKBEO_01042","PGKCJFEA_01715","OKDIKGGJ_01016","JJJDFGFB_01550"
"group_1010","","hypothetical protein",580,580,1,1,4574,NA,NA,"",176,1088,1086,"IIHPGJAB_01550","IMMEOONP_00806","OHGDDBEJ_01910","OAAFEBHG_03291","NGHPPALG_01550","CDEANNNL_01133","APJAPAOH_01762","EDHNKBAJ_01480","AHAJJFKC_03953","HGPPELBO_03424","DFEIMHLH_03699","KNJLKBEO_01043","PGKCJFEA_01714","OKDIKGGJ_01017","JJJDFGFB_01549"
"group_1016","","hypothetical protein",580,580,1,1,4596,NA,NA,"",284,377,376,"IIHPGJAB_01532","IMMEOONP_00789","OHGDDBEJ_01893","OAAFEBHG_03274","NGHPPALG_01533","CDEANNNL_01151","APJAPAOH_01779","EDHNKBAJ_01497","AHAJJFKC_04623","HGPPELBO_03407","DFEIMHLH_03716","KNJLKBEO_01061","PGKCJFEA_01585","OKDIKGGJ_01034","JJJDFGFB_01532"
"group_1017","ompC_3","Outer membrane porin C",580,580,1,1,4599,NA,NA,"",350,557,553,"IIHPGJAB_01529","IMMEOONP_00786","OHGDDBEJ_01890","OAAFEBHG_03271","NGHPPALG_01530","CDEANNNL_01154","APJAPAOH_01782","EDHNKBAJ_01500","AHAJJFKC_04626","HGPPELBO_03404","DFEIMHLH_03719","KNJLKBEO_01064","PGKCJFEA_01588","OKDIKGGJ_01037","JJJDFGFB_01529"
"mepM","","Murein DD-endopeptidase MepM",580,580,1,1,4700,NA,NA,"",1100,1319,1318,"IIHPGJAB_01429","IMMEOONP_00686","OHGDDBEJ_03808","OAAFEBHG_03171","NGHPPALG_01430","CDEANNNL_01254","APJAPAOH_01882","EDHNKBAJ_00397","AHAJJFKC_03152","HGPPELBO_03304","DFEIMHLH_03819","KNJLKBEO_03335","PGKCJFEA_01688","OKDIKGGJ_01137","JJJDFGFB_01429"
"group_1025","","hypothetical protein",580,580,1,1,2356,NA,NA,"",1028,1763,1761,"IIHPGJAB_03686","IMMEOONP_04374","OHGDDBEJ_03185","OAAFEBHG_03138","NGHPPALG_03713","CDEANNNL_04493","APJAPAOH_03843","EDHNKBAJ_04149","AHAJJFKC_02156","HGPPELBO_04533","DFEIMHLH_03465","KNJLKBEO_02141","PGKCJFEA_02572","OKDIKGGJ_03880","JJJDFGFB_03726"
"scrK","","Fructokinase",580,580,1,1,2286,NA,NA,"",683,959,958,"IIHPGJAB_04129","IMMEOONP_04113","OHGDDBEJ_03431","OAAFEBHG_03748","NGHPPALG_04165","CDEANNNL_04006","APJAPAOH_04122","EDHNKBAJ_03131","AHAJJFKC_00941","HGPPELBO_04182","DFEIMHLH_04068","KNJLKBEO_02341","PGKCJFEA_01991","OKDIKGGJ_04159","JJJDFGFB_03981"
"metE","","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase",580,580,1,1,3295,NA,NA,"",1277,2264,2260,"IIHPGJAB_04270","IMMEOONP_04246","OHGDDBEJ_04063","OAAFEBHG_04109","NGHPPALG_04298","CDEANNNL_04139","APJAPAOH_04262","EDHNKBAJ_03809","AHAJJFKC_03256","HGPPELBO_04271","DFEIMHLH_04209","KNJLKBEO_04309","PGKCJFEA_03639","OKDIKGGJ_04300","JJJDFGFB_04194"
"group_1060","","hypothetical protein",580,580,1,1,1428,NA,NA,"",1079,1400,1399,"IIHPGJAB_04292","IMMEOONP_04333","OHGDDBEJ_04150","OAAFEBHG_04175","NGHPPALG_04385","CDEANNNL_04161","APJAPAOH_04349","EDHNKBAJ_03971","AHAJJFKC_01594","HGPPELBO_04402","DFEIMHLH_04322","KNJLKBEO_03599","PGKCJFEA_02631","OKDIKGGJ_04322","JJJDFGFB_04325"
"csrD","","RNase E specificity factor CsrD",580,580,1,1,1963,NA,NA,"",1463,1940,1939,"IIHPGJAB_04379","IMMEOONP_04524","OHGDDBEJ_04440","OAAFEBHG_04528","NGHPPALG_04500","CDEANNNL_04586","APJAPAOH_04514","EDHNKBAJ_04357","AHAJJFKC_02880","HGPPELBO_04570","DFEIMHLH_04544","KNJLKBEO_04152","PGKCJFEA_03682","OKDIKGGJ_04521","JJJDFGFB_04414"
"ybhA_1","","Pyridoxal phosphate phosphatase YbhA",580,580,1,1,4212,NA,NA,"",767,824,817,"IIHPGJAB_01882","IMMEOONP_01137","OHGDDBEJ_04167","OAAFEBHG_03362","NGHPPALG_01881","CDEANNNL_04371","APJAPAOH_01431","EDHNKBAJ_04079","AHAJJFKC_01917","HGPPELBO_03594","DFEIMHLH_03433","KNJLKBEO_03719","PGKCJFEA_01561","OKDIKGGJ_00685","JJJDFGFB_01880"
"group_1149","","hypothetical protein",580,580,1,1,4736,NA,NA,"",176,419,418,"IIHPGJAB_00014","IMMEOONP_02402","OHGDDBEJ_01508","OAAFEBHG_01539","NGHPPALG_00014","CDEANNNL_02054","APJAPAOH_00732","EDHNKBAJ_00364","AHAJJFKC_04331","HGPPELBO_01540","DFEIMHLH_00829","KNJLKBEO_00392","PGKCJFEA_01910","OKDIKGGJ_01991","JJJDFGFB_00014"
"pdeD","","putative cyclic di-GMP phosphodiesterase PdeD",580,580,1,1,4769,NA,NA,"",1211,1601,1600,"IIHPGJAB_00045","IMMEOONP_02372","OHGDDBEJ_01478","OAAFEBHG_01570","NGHPPALG_00045","","APJAPAOH_00702","EDHNKBAJ_00334","AHAJJFKC_02000","HGPPELBO_01571","DFEIMHLH_00799","KNJLKBEO_00362","PGKCJFEA_01880","OKDIKGGJ_01961","JJJDFGFB_00045"
"oppA","","Periplasmic oligopeptide-binding protein",580,580,1,1,4850,NA,NA,"",746,1631,1629,"IIHPGJAB_00125","IMMEOONP_02292","OHGDDBEJ_01398","OAAFEBHG_01651","NGHPPALG_00125","CDEANNNL_01958","APJAPAOH_00622","EDHNKBAJ_00254","AHAJJFKC_00925","HGPPELBO_01651","DFEIMHLH_00719","KNJLKBEO_00282","PGKCJFEA_00734","OKDIKGGJ_01880","JJJDFGFB_00125"
"pspE","","Thiosulfate sulfurtransferase PspE",580,580,1,1,4917,NA,NA,"",314,347,314,"IIHPGJAB_00187","IMMEOONP_02230","OHGDDBEJ_01336","OAAFEBHG_01713","NGHPPALG_00187","CDEANNNL_01896","APJAPAOH_00560","EDHNKBAJ_00192","AHAJJFKC_00863","HGPPELBO_01713","DFEIMHLH_00657","KNJLKBEO_00220","PGKCJFEA_00672","OKDIKGGJ_01818","JJJDFGFB_00188"
"tpx_2","","Thiol peroxidase",580,580,1,1,4937,NA,NA,"",485,518,517,"IIHPGJAB_00206","IMMEOONP_02211","OHGDDBEJ_01317","OAAFEBHG_01732","NGHPPALG_00206","CDEANNNL_01877","APJAPAOH_00541","EDHNKBAJ_00173","AHAJJFKC_00844","HGPPELBO_01732","DFEIMHLH_00638","KNJLKBEO_00201","PGKCJFEA_00653","OKDIKGGJ_01799","JJJDFGFB_00207"
"group_1181","","hypothetical protein",580,580,1,1,4963,NA,NA,"",152,323,322,"IIHPGJAB_00228","IMMEOONP_02189","OHGDDBEJ_01295","OAAFEBHG_01754","NGHPPALG_00228","CDEANNNL_01855","APJAPAOH_00519","EDHNKBAJ_00151","AHAJJFKC_03969","HGPPELBO_01754","DFEIMHLH_00616","KNJLKBEO_00179","PGKCJFEA_00631","OKDIKGGJ_01777","JJJDFGFB_00229"
"group_1182","","hypothetical protein",580,580,1,1,4966,NA,NA,"",707,3920,3914,"IIHPGJAB_00231","IMMEOONP_02186","OHGDDBEJ_01292","OAAFEBHG_01757","NGHPPALG_00231","CDEANNNL_01852","APJAPAOH_00516","EDHNKBAJ_00148","AHAJJFKC_03966","HGPPELBO_01757","DFEIMHLH_00613","KNJLKBEO_00176","PGKCJFEA_00628","OKDIKGGJ_01774","JJJDFGFB_00232"
"glnQ_1","","Glutamine transport ATP-binding protein GlnQ",580,580,1,1,4974,NA,NA,"",629,731,730,"IIHPGJAB_00238","IMMEOONP_02179","OHGDDBEJ_01285","OAAFEBHG_01764","NGHPPALG_00238","CDEANNNL_01845","APJAPAOH_00509","EDHNKBAJ_00141","AHAJJFKC_03959","HGPPELBO_01764","DFEIMHLH_00606","KNJLKBEO_00169","PGKCJFEA_00621","OKDIKGGJ_01767","JJJDFGFB_00239"
"group_1184","","hypothetical protein",580,580,1,1,4976,NA,NA,"Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits",326,524,523,"IIHPGJAB_00240","IMMEOONP_02177","OHGDDBEJ_01283","OAAFEBHG_01766","NGHPPALG_00240","CDEANNNL_01843","APJAPAOH_00507","EDHNKBAJ_00139","AHAJJFKC_04665","HGPPELBO_01766","DFEIMHLH_00604","KNJLKBEO_00167","PGKCJFEA_00619","OKDIKGGJ_01765","JJJDFGFB_00241"
"rimL","","Ribosomal-protein-serine acetyltransferase",580,580,1,1,5004,NA,NA,"",359,539,538,"IIHPGJAB_00263","IMMEOONP_02154","OHGDDBEJ_01260","OAAFEBHG_01789","NGHPPALG_00263","CDEANNNL_01820","APJAPAOH_00484","EDHNKBAJ_00116","AHAJJFKC_04071","HGPPELBO_01789","DFEIMHLH_00581","KNJLKBEO_00144","PGKCJFEA_00596","OKDIKGGJ_01742","JJJDFGFB_00264"
"group_1191","","hypothetical protein",580,580,1,1,5005,NA,NA,"",827,980,979,"IIHPGJAB_00264","IMMEOONP_02153","OHGDDBEJ_01259","OAAFEBHG_01790","NGHPPALG_00264","CDEANNNL_01819","APJAPAOH_00483","EDHNKBAJ_00115","AHAJJFKC_04070","HGPPELBO_01790","DFEIMHLH_00580","KNJLKBEO_00143","PGKCJFEA_00595","OKDIKGGJ_01741","JJJDFGFB_00265"
"group_1208","","hypothetical protein",580,580,1,1,5129,NA,NA,"",677,719,706,"IIHPGJAB_00368","IMMEOONP_02049","OHGDDBEJ_01155","OAAFEBHG_01894","NGHPPALG_00367","CDEANNNL_01715","APJAPAOH_00379","EDHNKBAJ_00012","AHAJJFKC_01492","HGPPELBO_01895","DFEIMHLH_00476","KNJLKBEO_00039","PGKCJFEA_03332","OKDIKGGJ_01637","JJJDFGFB_00369"
"ribC","","Riboflavin synthase",580,580,1,1,5213,NA,NA,"",452,641,640,"IIHPGJAB_00444","IMMEOONP_03408","OHGDDBEJ_02465","OAAFEBHG_02594","NGHPPALG_00443","CDEANNNL_03059","APJAPAOH_00303","EDHNKBAJ_02007","AHAJJFKC_03333","HGPPELBO_02658","DFEIMHLH_00400","KNJLKBEO_01633","PGKCJFEA_04531","OKDIKGGJ_03099","JJJDFGFB_00445"
"group_1216","","hypothetical protein",580,580,1,1,5222,NA,NA,"Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits",377,431,402,"IIHPGJAB_00454","IMMEOONP_03398","OHGDDBEJ_02455","OAAFEBHG_02584","NGHPPALG_00453","CDEANNNL_03049","APJAPAOH_00293","EDHNKBAJ_02017","AHAJJFKC_04000","HGPPELBO_02668","DFEIMHLH_00390","KNJLKBEO_01643","PGKCJFEA_04541","OKDIKGGJ_03109","JJJDFGFB_00455"
"group_1217","","hypothetical protein",580,580,1,1,5227,NA,NA,"",830,992,991,"IIHPGJAB_00458","IMMEOONP_03394","OHGDDBEJ_02451","OAAFEBHG_02580","NGHPPALG_00457","CDEANNNL_03045","APJAPAOH_00289","EDHNKBAJ_02021","AHAJJFKC_04004","HGPPELBO_02672","DFEIMHLH_00386","KNJLKBEO_01647","PGKCJFEA_04734","OKDIKGGJ_03113","JJJDFGFB_00459"
"selO","","Protein adenylyltransferase SelO",580,580,1,1,5297,NA,NA,"",452,1442,1440,"IIHPGJAB_00525","IMMEOONP_03327","OHGDDBEJ_02384","OAAFEBHG_02513","NGHPPALG_00524","CDEANNNL_02978","APJAPAOH_00222","EDHNKBAJ_02088","AHAJJFKC_00398","HGPPELBO_02739","DFEIMHLH_00319","KNJLKBEO_01714","PGKCJFEA_02374","OKDIKGGJ_03180","JJJDFGFB_00526"
"pheS","","Phenylalanine--tRNA ligase alpha subunit",580,580,1,1,5306,NA,NA,"",452,983,982,"IIHPGJAB_00533","IMMEOONP_03319","OHGDDBEJ_02376","OAAFEBHG_02505","NGHPPALG_00532","CDEANNNL_02970","APJAPAOH_00214","EDHNKBAJ_02096","AHAJJFKC_00390","HGPPELBO_02747","DFEIMHLH_00311","KNJLKBEO_01722","PGKCJFEA_02382","OKDIKGGJ_03188","JJJDFGFB_00534"
"aroQ","","Monofunctional chorismate mutase",580,580,1,1,5387,NA,NA,"",506,545,544,"IIHPGJAB_00609","IMMEOONP_03243","OHGDDBEJ_02300","OAAFEBHG_02429","NGHPPALG_00608","CDEANNNL_02894","APJAPAOH_00138","EDHNKBAJ_02172","AHAJJFKC_00315","HGPPELBO_02823","DFEIMHLH_00235","KNJLKBEO_01798","PGKCJFEA_01154","OKDIKGGJ_03264","JJJDFGFB_00610"
"thiK","","Thiamine kinase",580,580,1,1,5448,NA,NA,"",791,824,823,"IIHPGJAB_00668","IMMEOONP_03184","OHGDDBEJ_02241","OAAFEBHG_02370","NGHPPALG_00667","CDEANNNL_02835","APJAPAOH_00079","EDHNKBAJ_03428","AHAJJFKC_02109","HGPPELBO_02882","DFEIMHLH_00176","KNJLKBEO_03501","PGKCJFEA_01213","OKDIKGGJ_03323","JJJDFGFB_00669"
"csgB","","Minor curlin subunit",580,580,1,1,5519,NA,NA,"",254,455,454,"IIHPGJAB_00734","IMMEOONP_03118","OHGDDBEJ_04645","OAAFEBHG_02304","NGHPPALG_00733","CDEANNNL_02769","APJAPAOH_00013","EDHNKBAJ_03362","AHAJJFKC_02043","HGPPELBO_02948","DFEIMHLH_00110","KNJLKBEO_03435","PGKCJFEA_01279","OKDIKGGJ_03389","JJJDFGFB_00735"
"group_1266","","IS200/IS605 family transposase IS200F",580,580,1,1,3096,NA,NA,"",245,395,328,"IIHPGJAB_00822","IMMEOONP_00079","OHGDDBEJ_00080","OAAFEBHG_00079","NGHPPALG_00820","CDEANNNL_03606","APJAPAOH_01336","EDHNKBAJ_01125","AHAJJFKC_01773","HGPPELBO_00079","DFEIMHLH_01432","KNJLKBEO_01542","","OKDIKGGJ_00079","JJJDFGFB_01333"
"norR_1","","Anaerobic nitric oxide reductase transcription regulator NorR",580,580,1,1,3167,NA,NA,"",1400,1520,1519,"IIHPGJAB_00893","IMMEOONP_00150","OHGDDBEJ_00152","OAAFEBHG_00149","NGHPPALG_00891","CDEANNNL_03677","APJAPAOH_01265","EDHNKBAJ_01054","AHAJJFKC_02925","HGPPELBO_00150","DFEIMHLH_01361","KNJLKBEO_01471","PGKCJFEA_03520","OKDIKGGJ_00150","JJJDFGFB_01262"
"hycE","","Formate hydrogenlyase subunit 5",580,580,1,1,3179,NA,NA,"",1646,1709,1708,"IIHPGJAB_00903","IMMEOONP_00160","OHGDDBEJ_00162","OAAFEBHG_00159","NGHPPALG_00901","CDEANNNL_03687","APJAPAOH_01255","EDHNKBAJ_01044","AHAJJFKC_02935","HGPPELBO_00160","DFEIMHLH_01351","KNJLKBEO_01461","PGKCJFEA_03510","OKDIKGGJ_00160","JJJDFGFB_01252"
"sipA","","Cell invasion protein SipA",580,580,1,1,3212,NA,NA,"",359,2057,2054,"IIHPGJAB_00936","IMMEOONP_00193","OHGDDBEJ_00195","OAAFEBHG_00192","NGHPPALG_00934","CDEANNNL_03720","APJAPAOH_01222","EDHNKBAJ_01011","AHAJJFKC_01274","HGPPELBO_00193","DFEIMHLH_01318","KNJLKBEO_01428","PGKCJFEA_04546","OKDIKGGJ_00193","JJJDFGFB_01219"
"pphB","","Serine/threonine-protein phosphatase 2",580,580,1,1,3235,NA,NA,"",569,656,654,"IIHPGJAB_00958","IMMEOONP_00215","OHGDDBEJ_00217","OAAFEBHG_00214","NGHPPALG_00956","CDEANNNL_03742","APJAPAOH_01200","EDHNKBAJ_00989","AHAJJFKC_01296","HGPPELBO_00215","DFEIMHLH_01296","KNJLKBEO_01406","PGKCJFEA_04164","OKDIKGGJ_00215","JJJDFGFB_01197"
"ygbE","","Inner membrane protein YgbE",580,580,1,1,2983,NA,NA,"",131,323,322,"IIHPGJAB_00984","IMMEOONP_00241","OHGDDBEJ_00243","OAAFEBHG_00240","NGHPPALG_00982","CDEANNNL_03768","APJAPAOH_01174","EDHNKBAJ_00963","AHAJJFKC_01322","HGPPELBO_00241","DFEIMHLH_01270","KNJLKBEO_01380","PGKCJFEA_02417","OKDIKGGJ_00241","JJJDFGFB_01171"
"group_1297","","hypothetical protein",580,580,1,1,2951,NA,NA,"",800,1031,1023,"IIHPGJAB_01014","IMMEOONP_00271","OHGDDBEJ_00273","OAAFEBHG_00270","NGHPPALG_01014","CDEANNNL_01278","APJAPAOH_01144","EDHNKBAJ_00933","AHAJJFKC_01096","HGPPELBO_00271","DFEIMHLH_01240","KNJLKBEO_02555","PGKCJFEA_02447","OKDIKGGJ_00271","JJJDFGFB_01141"
"rlmD","","23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD",580,580,1,1,2949,NA,NA,"",182,1295,1293,"IIHPGJAB_01016","IMMEOONP_00273","OHGDDBEJ_00275","OAAFEBHG_00272","NGHPPALG_01016","CDEANNNL_01280","APJAPAOH_01142","EDHNKBAJ_00931","AHAJJFKC_01098","HGPPELBO_00273","DFEIMHLH_01238","KNJLKBEO_02557","PGKCJFEA_02449","OKDIKGGJ_00273","JJJDFGFB_01139"
"yqjF","","Inner membrane protein YqjF",580,580,1,1,2665,NA,NA,"",392,485,410,"IIHPGJAB_01295","IMMEOONP_00552","OHGDDBEJ_00555","OAAFEBHG_00551","NGHPPALG_01296","CDEANNNL_01560","APJAPAOH_00863","EDHNKBAJ_01859","AHAJJFKC_02186","HGPPELBO_00552","DFEIMHLH_00959","KNJLKBEO_03081","PGKCJFEA_00823","OKDIKGGJ_00552","JJJDFGFB_00861"
"tdcC","","Threonine/serine transporter TdcC",580,580,1,1,2653,NA,NA,"",962,1331,1330,"IIHPGJAB_01307","IMMEOONP_00564","OHGDDBEJ_00567","OAAFEBHG_00563","NGHPPALG_01308","CDEANNNL_01572","APJAPAOH_00851","EDHNKBAJ_01847","AHAJJFKC_02174","HGPPELBO_00564","DFEIMHLH_00947","KNJLKBEO_03069","PGKCJFEA_00835","OKDIKGGJ_00564","JJJDFGFB_00849"
"caf1M_2","","Chaperone protein caf1M",580,580,1,1,181,NA,NA,"",512,644,512,"IIHPGJAB_03116","IMMEOONP_03056","OHGDDBEJ_02509","OAAFEBHG_04039","NGHPPALG_03116","CDEANNNL_02475","APJAPAOH_03115","EDHNKBAJ_02576","AHAJJFKC_01021","HGPPELBO_02572","DFEIMHLH_02026","KNJLKBEO_01344","PGKCJFEA_00320","OKDIKGGJ_03012","JJJDFGFB_03117"
"pepD","","Cytosol non-specific dipeptidase",580,580,1,1,812,NA,NA,"",770,1457,1455,"IIHPGJAB_03132","IMMEOONP_03040","OHGDDBEJ_02525","OAAFEBHG_04023","NGHPPALG_03132","CDEANNNL_02491","APJAPAOH_03131","EDHNKBAJ_02592","AHAJJFKC_01037","HGPPELBO_02556","DFEIMHLH_02010","KNJLKBEO_01328","PGKCJFEA_00304","OKDIKGGJ_02996","JJJDFGFB_03133"
"gpt","","Xanthine phosphoribosyltransferase",580,580,1,1,811,NA,NA,"",428,458,457,"IIHPGJAB_03133","IMMEOONP_03039","OHGDDBEJ_02526","OAAFEBHG_04022","NGHPPALG_03133","CDEANNNL_02492","APJAPAOH_03132","EDHNKBAJ_02593","AHAJJFKC_01038","HGPPELBO_02555","DFEIMHLH_02009","KNJLKBEO_01327","PGKCJFEA_00303","OKDIKGGJ_02995","JJJDFGFB_03134"
"sfaA","","S-fimbrial protein subunit SfaA",580,580,1,1,786,NA,NA,"",476,536,535,"IIHPGJAB_03158","IMMEOONP_03014","OHGDDBEJ_02551","OAAFEBHG_03997","NGHPPALG_03158","CDEANNNL_02517","APJAPAOH_03157","EDHNKBAJ_02618","AHAJJFKC_01063","HGPPELBO_02530","DFEIMHLH_01984","KNJLKBEO_01302","PGKCJFEA_00278","OKDIKGGJ_02970","JJJDFGFB_03159"
"mak","","Fructokinase",580,580,1,1,728,NA,NA,"",908,935,908,"IIHPGJAB_03213","IMMEOONP_02960","OHGDDBEJ_02605","OAAFEBHG_04329","NGHPPALG_03212","CDEANNNL_02571","APJAPAOH_03211","EDHNKBAJ_02672","AHAJJFKC_00637","HGPPELBO_02476","DFEIMHLH_01930","KNJLKBEO_01248","PGKCJFEA_00224","OKDIKGGJ_02916","JJJDFGFB_03213"
"sbcC","","Nuclease SbcCD subunit C",580,580,1,1,726,NA,NA,"",1433,3140,3137,"IIHPGJAB_03215","IMMEOONP_02958","OHGDDBEJ_02607","OAAFEBHG_04331","NGHPPALG_03214","CDEANNNL_02573","APJAPAOH_03213","EDHNKBAJ_02674","AHAJJFKC_00635","HGPPELBO_02474","DFEIMHLH_01928","KNJLKBEO_01246","PGKCJFEA_00222","OKDIKGGJ_02914","JJJDFGFB_03215"
