"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR9016885","SRR14766373","SRR1363292","SRR3037518","SRR5877168","SRR3000887","SRR3037434","SRR3000888","SRR1300738","SRR9016907","SRR14766363","SRR14766398","SRR14766349","NDSU6","NDSU13"
"ftsH","","ATP-dependent zinc metalloprotease FtsH",581,581,1,1,2603,NA,NA,"",1934,1943,1942,"OMEBOICM_04249","OCHGHCBG_00611","HECGGPDK_00792","OIEPJHKP_00058","ABGDGJIO_00058","HEJLPIII_03699","ENBCENPF_00058","HAJGLMEJ_00357","BGBDHPIL_00587","BONMBINM_00470","HDHIBFGB_02686","POCPDFCE_00295","FMNDBGIB_02424","LBKLGAEM_00611","GBFFMACB_00675"
"rne","","Ribonuclease E",581,581,1,1,5473,NA,NA,"",3206,3206,3206,"OMEBOICM_03335","OCHGHCBG_00954","HECGGPDK_00043","OIEPJHKP_03410","ABGDGJIO_03422","HEJLPIII_02652","ENBCENPF_02239","HAJGLMEJ_02532","BGBDHPIL_00055","BONMBINM_01019","HDHIBFGB_01341","POCPDFCE_00435","FMNDBGIB_01996","LBKLGAEM_03751","GBFFMACB_01978"
"nagK_2","","Fumarylpyruvate hydrolase",581,581,1,1,5901,NA,NA,"",701,701,701,"OMEBOICM_01620","OCHGHCBG_01274","HECGGPDK_03434","OIEPJHKP_02684","ABGDGJIO_03740","HEJLPIII_03000","ENBCENPF_04143","HAJGLMEJ_02061","BGBDHPIL_01929","BONMBINM_01528","HDHIBFGB_01709","POCPDFCE_02798","FMNDBGIB_02992","LBKLGAEM_03236","GBFFMACB_02980"
"creC","","Sensor protein CreC",581,581,1,1,74,NA,NA,"",1424,1424,1424,"OMEBOICM_02338","OCHGHCBG_01886","HECGGPDK_01781","OIEPJHKP_00735","ABGDGJIO_01222","HEJLPIII_00378","ENBCENPF_03516","HAJGLMEJ_02653","BGBDHPIL_02292","BONMBINM_02684","HDHIBFGB_00990","POCPDFCE_01479","FMNDBGIB_02096","LBKLGAEM_02017","GBFFMACB_03980"
"yqiK","","Inner membrane protein YqiK",581,581,1,1,2698,NA,NA,"",1679,1679,1679,"OMEBOICM_02978","OCHGHCBG_00519","HECGGPDK_00884","OIEPJHKP_00150","ABGDGJIO_00150","HEJLPIII_03791","ENBCENPF_00150","HAJGLMEJ_00265","BGBDHPIL_00496","BONMBINM_00562","HDHIBFGB_03755","POCPDFCE_03849","FMNDBGIB_02516","LBKLGAEM_00519","GBFFMACB_00583"
"gltI","","Glutamate/aspartate import solute-binding protein",581,581,1,1,332,NA,NA,"",908,908,908,"OMEBOICM_01497","OCHGHCBG_04051","HECGGPDK_03115","OIEPJHKP_03809","ABGDGJIO_03888","HEJLPIII_03534","ENBCENPF_03872","HAJGLMEJ_02332","BGBDHPIL_03044","BONMBINM_03150","HDHIBFGB_02572","POCPDFCE_00176","FMNDBGIB_01649","LBKLGAEM_03893","GBFFMACB_00088"
"aas","","Bifunctional protein Aas",581,581,1,1,2897,NA,NA,"",2159,2159,2159,"OMEBOICM_00471","OCHGHCBG_00327","HECGGPDK_01076","OIEPJHKP_00342","ABGDGJIO_00342","HEJLPIII_01943","ENBCENPF_00342","HAJGLMEJ_00073","BGBDHPIL_03475","BONMBINM_01609","HDHIBFGB_03035","POCPDFCE_00393","FMNDBGIB_01137","LBKLGAEM_00327","GBFFMACB_02097"
"degS","","Serine endoprotease DegS",581,581,1,1,2545,NA,NA,"",1070,1070,1070,"OMEBOICM_04529","OCHGHCBG_00666","HECGGPDK_00737","OIEPJHKP_00003","ABGDGJIO_00003","HEJLPIII_03644","ENBCENPF_00003","HAJGLMEJ_00412","BGBDHPIL_00642","BONMBINM_00416","HDHIBFGB_02743","POCPDFCE_00240","FMNDBGIB_02369","LBKLGAEM_00666","GBFFMACB_00730"
"group_6475","","hypothetical protein",581,581,1,1,779,NA,NA,"",527,527,527,"OMEBOICM_00231","OCHGHCBG_03537","HECGGPDK_02861","OIEPJHKP_02525","ABGDGJIO_03038","HEJLPIII_02366","ENBCENPF_02087","HAJGLMEJ_01248","BGBDHPIL_00742","BONMBINM_03310","HDHIBFGB_03336","POCPDFCE_01727","FMNDBGIB_00874","LBKLGAEM_03076","GBFFMACB_00469"
"rlmG","","Ribosomal RNA large subunit methyltransferase G",581,581,1,1,2678,NA,NA,"",1136,1136,1136,"OMEBOICM_02999","OCHGHCBG_00540","HECGGPDK_00863","OIEPJHKP_00129","ABGDGJIO_00129","HEJLPIII_03770","ENBCENPF_00129","HAJGLMEJ_00286","BGBDHPIL_00517","BONMBINM_00541","HDHIBFGB_02615","POCPDFCE_02494","FMNDBGIB_02495","LBKLGAEM_00540","GBFFMACB_00604"
"dgcQ","","putative diguanylate cyclase DgcQ",581,581,1,1,4608,NA,NA,"",1712,1712,1712,"OMEBOICM_02861","OCHGHCBG_01444","HECGGPDK_02323","OIEPJHKP_04087","ABGDGJIO_01046","HEJLPIII_03999","ENBCENPF_00778","HAJGLMEJ_02961","BGBDHPIL_03072","BONMBINM_02897","HDHIBFGB_03105","POCPDFCE_03356","FMNDBGIB_02170","LBKLGAEM_01044","GBFFMACB_02239"
"mreB","","Cell shape-determining protein MreB",581,581,1,1,1962,NA,NA,"",1043,1043,1043,"OMEBOICM_04098","OCHGHCBG_04531","HECGGPDK_04439","OIEPJHKP_04492","ABGDGJIO_04577","HEJLPIII_04340","ENBCENPF_04471","HAJGLMEJ_04243","BGBDHPIL_04157","BONMBINM_04375","HDHIBFGB_04167","POCPDFCE_01661","FMNDBGIB_03654","LBKLGAEM_04452","GBFFMACB_03643"
"amiA","","N-acetylmuramoyl-L-alanine amidase AmiA",581,581,1,1,4018,NA,NA,"",869,869,869,"OMEBOICM_01266","OCHGHCBG_03235","HECGGPDK_02608","OIEPJHKP_03133","ABGDGJIO_02620","HEJLPIII_01370","ENBCENPF_02876","HAJGLMEJ_00862","BGBDHPIL_01285","BONMBINM_01190","HDHIBFGB_00155","POCPDFCE_01371","FMNDBGIB_00377","LBKLGAEM_02604","GBFFMACB_01119"
"yrbL","","putative protein YrbL",581,581,1,1,2571,NA,NA,"",632,632,632,"OMEBOICM_04218","OCHGHCBG_00642","HECGGPDK_00761","OIEPJHKP_00027","ABGDGJIO_00027","HEJLPIII_03668","ENBCENPF_00027","HAJGLMEJ_00388","BGBDHPIL_00618","BONMBINM_00440","HDHIBFGB_02719","POCPDFCE_00264","FMNDBGIB_02393","LBKLGAEM_00642","GBFFMACB_00706"
"group_6481","","hypothetical protein",581,581,1,1,143,NA,NA,"",494,494,494,"OMEBOICM_04013","OCHGHCBG_03454","HECGGPDK_02779","OIEPJHKP_02607","ABGDGJIO_03121","HEJLPIII_02284","ENBCENPF_02169","HAJGLMEJ_04194","BGBDHPIL_00660","BONMBINM_03227","HDHIBFGB_04129","POCPDFCE_03900","FMNDBGIB_04440","LBKLGAEM_03159","GBFFMACB_04428"
"group_6482","","hypothetical protein",581,581,1,1,4007,NA,NA,"",539,539,539,"OMEBOICM_01277","OCHGHCBG_03246","HECGGPDK_02597","OIEPJHKP_03122","ABGDGJIO_02609","HEJLPIII_01381","ENBCENPF_02865","HAJGLMEJ_00851","BGBDHPIL_01296","BONMBINM_01179","HDHIBFGB_00166","POCPDFCE_01382","FMNDBGIB_00388","LBKLGAEM_02615","GBFFMACB_01130"
"acs_2","","Acetyl-coenzyme A synthetase",581,581,1,1,753,NA,NA,"",1796,1796,1796,"OMEBOICM_00207","OCHGHCBG_03561","HECGGPDK_02885","OIEPJHKP_02501","ABGDGJIO_03014","HEJLPIII_02390","ENBCENPF_02063","HAJGLMEJ_01224","BGBDHPIL_00766","BONMBINM_03334","HDHIBFGB_03312","POCPDFCE_01751","FMNDBGIB_00898","LBKLGAEM_03052","GBFFMACB_00445"
"yhjB","","Putative HTH-type transcriptional regulator YhjB",581,581,1,1,1771,NA,NA,"",602,602,602,"OMEBOICM_00570","OCHGHCBG_02470","HECGGPDK_02054","OIEPJHKP_02136","ABGDGJIO_01805","HEJLPIII_01009","ENBCENPF_01696","HAJGLMEJ_00574","BGBDHPIL_01094","BONMBINM_00207","HDHIBFGB_02056","POCPDFCE_00102","FMNDBGIB_00159","LBKLGAEM_02290","GBFFMACB_01755"
"mog","","Molybdopterin adenylyltransferase",581,581,1,1,56,NA,NA,"",590,590,590,"OMEBOICM_02320","OCHGHCBG_01868","HECGGPDK_01799","OIEPJHKP_00717","ABGDGJIO_01204","HEJLPIII_00396","ENBCENPF_03498","HAJGLMEJ_02635","BGBDHPIL_02310","BONMBINM_02702","HDHIBFGB_01008","POCPDFCE_03972","FMNDBGIB_02114","LBKLGAEM_02035","GBFFMACB_04386"
"gltD","","Glutamate synthase [NADPH] small chain",581,581,1,1,2565,NA,NA,"",1418,1418,1418,"OMEBOICM_04212","OCHGHCBG_00648","HECGGPDK_00755","OIEPJHKP_00021","ABGDGJIO_00021","HEJLPIII_03662","ENBCENPF_00021","HAJGLMEJ_00394","BGBDHPIL_00624","BONMBINM_00434","HDHIBFGB_02725","POCPDFCE_00258","FMNDBGIB_02387","LBKLGAEM_00648","GBFFMACB_00712"
"ribF","","Bifunctional riboflavin kinase/FMN adenylyltransferase",581,581,1,1,16,NA,NA,"",938,938,938,"OMEBOICM_02281","OCHGHCBG_01829","HECGGPDK_01838","OIEPJHKP_00678","ABGDGJIO_01165","HEJLPIII_00435","ENBCENPF_03459","HAJGLMEJ_02596","BGBDHPIL_02349","BONMBINM_02741","HDHIBFGB_01047","POCPDFCE_03271","FMNDBGIB_02153","LBKLGAEM_02074","GBFFMACB_03594"
"rarA","","Replication-associated recombination protein A",581,581,1,1,4365,NA,NA,"",1343,1343,1343,"OMEBOICM_02097","OCHGHCBG_01662","HECGGPDK_03214","OIEPJHKP_01325","ABGDGJIO_00826","HEJLPIII_01772","ENBCENPF_00996","HAJGLMEJ_01384","BGBDHPIL_02581","BONMBINM_02319","HDHIBFGB_02374","POCPDFCE_03650","FMNDBGIB_00749","LBKLGAEM_00826","GBFFMACB_02687"
"asrC","","Anaerobic sulfite reductase subunit C",581,581,1,1,4105,NA,NA,"",1013,1013,1013,"OMEBOICM_02705","OCHGHCBG_03132","HECGGPDK_02712","OIEPJHKP_01163","ABGDGJIO_02723","HEJLPIII_01267","ENBCENPF_02979","HAJGLMEJ_00965","BGBDHPIL_01182","BONMBINM_01294","HDHIBFGB_00052","POCPDFCE_04086","FMNDBGIB_03003","LBKLGAEM_02501","GBFFMACB_01016"
"bamA","","Outer membrane protein assembly factor BamA",581,581,1,1,2365,NA,NA,"",2414,2414,2414,"OMEBOICM_03819","OCHGHCBG_03793","HECGGPDK_04285","OIEPJHKP_03331","ABGDGJIO_04462","HEJLPIII_03422","ENBCENPF_03055","HAJGLMEJ_03408","BGBDHPIL_04019","BONMBINM_04237","HDHIBFGB_02263","POCPDFCE_00514","FMNDBGIB_03068","LBKLGAEM_03427","GBFFMACB_03368"
"oppC","","Oligopeptide transport system permease protein OppC",581,581,1,1,4852,NA,NA,"",908,908,908,"OMEBOICM_01751","OCHGHCBG_02955","HECGGPDK_00609","OIEPJHKP_01650","ABGDGJIO_02291","HEJLPIII_00571","ENBCENPF_01210","HAJGLMEJ_02808","BGBDHPIL_01394","BONMBINM_02532","HDHIBFGB_00638","POCPDFCE_04038","FMNDBGIB_01501","LBKLGAEM_01280","GBFFMACB_01470"
"nanT_1","","Sialic acid transporter NanT",581,581,1,1,2558,NA,NA,"",1490,1490,1490,"OMEBOICM_04518","OCHGHCBG_00655","HECGGPDK_00748","OIEPJHKP_00014","ABGDGJIO_00014","HEJLPIII_03655","ENBCENPF_00014","HAJGLMEJ_00401","BGBDHPIL_00631","BONMBINM_00427","HDHIBFGB_02732","POCPDFCE_00251","FMNDBGIB_02380","LBKLGAEM_00655","GBFFMACB_00719"
"dnaE","","DNA polymerase III subunit alpha",581,581,1,1,2358,NA,NA,"",3482,3482,3482,"OMEBOICM_03826","OCHGHCBG_03786","HECGGPDK_04278","OIEPJHKP_03338","ABGDGJIO_04469","HEJLPIII_03429","ENBCENPF_03048","HAJGLMEJ_03415","BGBDHPIL_04012","BONMBINM_04244","HDHIBFGB_02270","POCPDFCE_00507","FMNDBGIB_03061","LBKLGAEM_03420","GBFFMACB_03361"
"yibN","","putative protein YibN",581,581,1,1,1879,NA,NA,"",431,431,431,"OMEBOICM_03296","OCHGHCBG_02569","HECGGPDK_02153","OIEPJHKP_02037","ABGDGJIO_01706","HEJLPIII_01108","ENBCENPF_01597","HAJGLMEJ_00475","BGBDHPIL_02422","BONMBINM_00306","HDHIBFGB_02807","POCPDFCE_02725","FMNDBGIB_00258","LBKLGAEM_02191","GBFFMACB_02584"
"group_6495","","hypothetical protein",581,581,1,1,5491,NA,NA,"",647,647,647,"OMEBOICM_03318","OCHGHCBG_00971","HECGGPDK_00026","OIEPJHKP_03393","ABGDGJIO_03439","HEJLPIII_02635","ENBCENPF_02222","HAJGLMEJ_02549","BGBDHPIL_00038","BONMBINM_01036","HDHIBFGB_01358","POCPDFCE_00418","FMNDBGIB_01979","LBKLGAEM_03768","GBFFMACB_01995"
"fhuF","","Ferric iron reductase protein FhuF",581,581,1,1,6205,NA,NA,"",788,788,788,"OMEBOICM_02374","OCHGHCBG_01922","HECGGPDK_01745","OIEPJHKP_00771","ABGDGJIO_01258","HEJLPIII_00342","ENBCENPF_03552","HAJGLMEJ_02689","BGBDHPIL_02256","BONMBINM_02648","HDHIBFGB_00954","POCPDFCE_01515","FMNDBGIB_02060","LBKLGAEM_01981","GBFFMACB_04650"
"dcd","","dCTP deaminase",581,581,1,1,5790,NA,NA,"",581,581,581,"OMEBOICM_01678","OCHGHCBG_01216","HECGGPDK_03492","OIEPJHKP_02742","ABGDGJIO_03682","HEJLPIII_03058","ENBCENPF_03262","HAJGLMEJ_02119","BGBDHPIL_01871","BONMBINM_01470","HDHIBFGB_01767","POCPDFCE_03334","FMNDBGIB_02335","LBKLGAEM_03294","GBFFMACB_03798"
"citF_1","","Citrate lyase alpha chain",581,581,1,1,2535,NA,NA,"",1520,1520,1520,"OMEBOICM_04045","OCHGHCBG_03958","HECGGPDK_03531","OIEPJHKP_03166","ABGDGJIO_04129","HEJLPIII_03257","ENBCENPF_03220","HAJGLMEJ_03266","BGBDHPIL_04586","BONMBINM_02756","HDHIBFGB_02098","POCPDFCE_04308","FMNDBGIB_03626","LBKLGAEM_03592","GBFFMACB_04193"
"group_6499","","hypothetical protein",581,581,1,1,4631,NA,NA,"",413,413,413,"OMEBOICM_02883","OCHGHCBG_01422","HECGGPDK_02301","OIEPJHKP_04065","ABGDGJIO_01068","HEJLPIII_04021","ENBCENPF_00756","HAJGLMEJ_02982","BGBDHPIL_03094","BONMBINM_02919","HDHIBFGB_03127","POCPDFCE_02339","FMNDBGIB_02192","LBKLGAEM_01066","GBFFMACB_02261"
"oleD","","2-alkyl-3-oxoalkanoate reductase",581,581,1,1,4334,NA,NA,"",1013,1013,1013,"OMEBOICM_02070","OCHGHCBG_01689","HECGGPDK_03241","OIEPJHKP_01298","ABGDGJIO_00799","HEJLPIII_01799","ENBCENPF_01023","HAJGLMEJ_01357","BGBDHPIL_02608","BONMBINM_02346","HDHIBFGB_02347","POCPDFCE_03231","FMNDBGIB_00776","LBKLGAEM_00799","GBFFMACB_02660"
"grxD","","Glutaredoxin 4",581,581,1,1,5205,NA,NA,"",347,347,347,"OMEBOICM_01182","OCHGHCBG_00698","HECGGPDK_00299","OIEPJHKP_03948","ABGDGJIO_03166","HEJLPIII_02909","ENBCENPF_02495","HAJGLMEJ_03640","BGBDHPIL_00312","BONMBINM_00763","HDHIBFGB_01086","POCPDFCE_00930","FMNDBGIB_01357","LBKLGAEM_01588","GBFFMACB_00952"
"cysW","","Sulfate transport system permease protein CysW",581,581,1,1,4010,NA,NA,"",875,878,875,"OMEBOICM_01274","OCHGHCBG_03243","HECGGPDK_02600","OIEPJHKP_03125","ABGDGJIO_02612","HEJLPIII_01378","ENBCENPF_02868","HAJGLMEJ_00854","BGBDHPIL_01293","BONMBINM_01182","HDHIBFGB_00163","POCPDFCE_01379","FMNDBGIB_00385","LBKLGAEM_02612","GBFFMACB_01127"
"group_6503","","hypothetical protein",581,581,1,1,769,NA,NA,"",1958,1958,1958,"OMEBOICM_00222","OCHGHCBG_03546","HECGGPDK_02870","OIEPJHKP_02516","ABGDGJIO_03029","HEJLPIII_02375","ENBCENPF_02078","HAJGLMEJ_01239","BGBDHPIL_00751","BONMBINM_03319","HDHIBFGB_03327","POCPDFCE_01736","FMNDBGIB_00883","LBKLGAEM_03067","GBFFMACB_00460"
"gsiA","","Glutathione import ATP-binding protein GsiA",581,581,1,1,4282,NA,NA,"",1871,1871,1871,"OMEBOICM_02021","OCHGHCBG_01738","HECGGPDK_03291","OIEPJHKP_01249","ABGDGJIO_00750","HEJLPIII_01848","ENBCENPF_01072","HAJGLMEJ_01308","BGBDHPIL_02657","BONMBINM_02395","HDHIBFGB_02298","POCPDFCE_03622","FMNDBGIB_04419","LBKLGAEM_00750","GBFFMACB_04410"
"lptC","","Lipopolysaccharide export system protein LptC",581,581,1,1,2580,NA,NA,"",575,575,575,"OMEBOICM_04227","OCHGHCBG_00633","HECGGPDK_00770","OIEPJHKP_00036","ABGDGJIO_00036","HEJLPIII_03677","ENBCENPF_00036","HAJGLMEJ_00379","BGBDHPIL_00609","BONMBINM_00448","HDHIBFGB_02710","POCPDFCE_00273","FMNDBGIB_02402","LBKLGAEM_00633","GBFFMACB_00697"
"group_6506","","hypothetical protein",581,581,1,1,5881,NA,NA,"",530,530,530,"OMEBOICM_01640","OCHGHCBG_01254","HECGGPDK_03454","OIEPJHKP_02704","ABGDGJIO_03720","HEJLPIII_03020","ENBCENPF_04123","HAJGLMEJ_02081","BGBDHPIL_01909","BONMBINM_01508","HDHIBFGB_01729","POCPDFCE_02818","FMNDBGIB_02297","LBKLGAEM_03256","GBFFMACB_03000"
"glaH_1","","Glutarate 2-hydroxylase",581,581,1,1,3117,NA,NA,"",590,590,590,"OMEBOICM_02425","OCHGHCBG_00098","HECGGPDK_01304","OIEPJHKP_00571","ABGDGJIO_00571","HEJLPIII_02171","ENBCENPF_00571","HAJGLMEJ_01717","BGBDHPIL_02018","BONMBINM_03433","HDHIBFGB_01550","POCPDFCE_01905","FMNDBGIB_01785","LBKLGAEM_00098","GBFFMACB_02834"
"lysA_2","","Diaminopimelate decarboxylase",581,581,1,1,3918,NA,NA,"",1397,1397,1397,"OMEBOICM_01365","OCHGHCBG_03334","HECGGPDK_03905","OIEPJHKP_03034","ABGDGJIO_02521","HEJLPIII_01469","ENBCENPF_03930","HAJGLMEJ_00763","BGBDHPIL_02915","BONMBINM_01091","HDHIBFGB_00254","POCPDFCE_02428","FMNDBGIB_00476","LBKLGAEM_02703","GBFFMACB_01818"
"group_6513","","hypothetical protein",581,581,1,1,5780,NA,NA,"",746,746,746,"OMEBOICM_01688","OCHGHCBG_01206","HECGGPDK_03502","OIEPJHKP_02752","ABGDGJIO_03672","HEJLPIII_03068","ENBCENPF_03272","HAJGLMEJ_02129","BGBDHPIL_01861","BONMBINM_01460","HDHIBFGB_01777","POCPDFCE_02298","FMNDBGIB_02345","LBKLGAEM_03304","GBFFMACB_04085"
"tilS","","tRNA(Ile)-lysidine synthase",581,581,1,1,2352,NA,NA,"",1292,1292,1292,"OMEBOICM_03831","OCHGHCBG_03781","HECGGPDK_04273","OIEPJHKP_03343","ABGDGJIO_04474","HEJLPIII_03434","ENBCENPF_03043","HAJGLMEJ_03420","BGBDHPIL_04007","BONMBINM_04249","HDHIBFGB_02275","POCPDFCE_00502","FMNDBGIB_03056","LBKLGAEM_03415","GBFFMACB_03356"
"hscB","","Co-chaperone protein HscB",581,581,1,1,4115,NA,NA,"",515,515,515,"OMEBOICM_02715","OCHGHCBG_03142","HECGGPDK_02702","OIEPJHKP_01173","ABGDGJIO_02713","HEJLPIII_01277","ENBCENPF_02969","HAJGLMEJ_00955","BGBDHPIL_01192","BONMBINM_01284","HDHIBFGB_00062","POCPDFCE_02044","FMNDBGIB_03013","LBKLGAEM_02511","GBFFMACB_01026"
"yhhW","","Quercetin 2,3-dioxygenase",581,581,1,1,1707,NA,NA,"",695,695,695,"OMEBOICM_00633","OCHGHCBG_02407","HECGGPDK_01991","OIEPJHKP_02198","ABGDGJIO_01868","HEJLPIII_00947","ENBCENPF_01759","HAJGLMEJ_00637","BGBDHPIL_01031","BONMBINM_00144","HDHIBFGB_01993","POCPDFCE_00039","FMNDBGIB_00097","LBKLGAEM_02353","GBFFMACB_01692"
"soxS","","Regulatory protein SoxS",581,581,1,1,2071,NA,NA,"",323,323,323,"OMEBOICM_00780","OCHGHCBG_02200","HECGGPDK_01465","OIEPJHKP_01049","ABGDGJIO_01536","HEJLPIII_00064","ENBCENPF_02733","HAJGLMEJ_02853","BGBDHPIL_01578","BONMBINM_02019","HDHIBFGB_03399","POCPDFCE_04006","FMNDBGIB_02655","LBKLGAEM_01703","GBFFMACB_01378"
"oxyR_2","","Hydrogen peroxide-inducible genes activator",581,581,1,1,3992,NA,NA,"",926,926,926,"OMEBOICM_01292","OCHGHCBG_03261","HECGGPDK_02582","OIEPJHKP_03107","ABGDGJIO_02594","HEJLPIII_01396","ENBCENPF_02850","HAJGLMEJ_00836","BGBDHPIL_01311","BONMBINM_01164","HDHIBFGB_00181","POCPDFCE_01397","FMNDBGIB_00403","LBKLGAEM_02630","GBFFMACB_01145"
"gntR_2","","HTH-type transcriptional regulator GntR",581,581,1,1,1706,NA,NA,"",995,995,995,"OMEBOICM_00634","OCHGHCBG_02406","HECGGPDK_01990","OIEPJHKP_02199","ABGDGJIO_01869","HEJLPIII_00946","ENBCENPF_01760","HAJGLMEJ_00638","BGBDHPIL_01030","BONMBINM_00143","HDHIBFGB_01992","POCPDFCE_00038","FMNDBGIB_00096","LBKLGAEM_02354","GBFFMACB_01691"
"mlaC","","Intermembrane phospholipid transport system binding protein MlaC",581,581,1,1,2587,NA,NA,"",635,635,635,"OMEBOICM_04234","OCHGHCBG_00626","HECGGPDK_00777","OIEPJHKP_00043","ABGDGJIO_00043","HEJLPIII_03684","ENBCENPF_00043","HAJGLMEJ_00372","BGBDHPIL_00602","BONMBINM_00455","HDHIBFGB_02703","POCPDFCE_00280","FMNDBGIB_02409","LBKLGAEM_00626","GBFFMACB_00690"
"group_6521","","hypothetical protein",581,581,1,1,3993,NA,NA,"",998,998,998,"OMEBOICM_01291","OCHGHCBG_03260","HECGGPDK_02583","OIEPJHKP_03108","ABGDGJIO_02595","HEJLPIII_01395","ENBCENPF_02851","HAJGLMEJ_00837","BGBDHPIL_01310","BONMBINM_01165","HDHIBFGB_00180","POCPDFCE_01396","FMNDBGIB_00402","LBKLGAEM_02629","GBFFMACB_01144"
"ubiF","","3-demethoxyubiquinol 3-hydroxylase",581,581,1,1,326,NA,NA,"",1175,1175,1175,"OMEBOICM_01503","OCHGHCBG_04045","HECGGPDK_03121","OIEPJHKP_03815","ABGDGJIO_03882","HEJLPIII_03528","ENBCENPF_03878","HAJGLMEJ_02326","BGBDHPIL_03050","BONMBINM_03144","HDHIBFGB_02578","POCPDFCE_00170","FMNDBGIB_01655","LBKLGAEM_03887","GBFFMACB_00082"
"lacC","","Tagatose-6-phosphate kinase",581,581,1,1,5934,NA,NA,"",938,938,938,"OMEBOICM_01590","OCHGHCBG_01304","HECGGPDK_03404","OIEPJHKP_02654","ABGDGJIO_03770","HEJLPIII_02970","ENBCENPF_04173","HAJGLMEJ_02031","BGBDHPIL_01959","BONMBINM_01558","HDHIBFGB_01679","POCPDFCE_03296","FMNDBGIB_02962","LBKLGAEM_03206","GBFFMACB_02950"
"rbsD","","D-ribose pyranase",581,581,1,1,1369,NA,NA,"",419,419,419,"OMEBOICM_03448","OCHGHCBG_04436","HECGGPDK_04079","OIEPJHKP_04252","ABGDGJIO_04423","HEJLPIII_04254","ENBCENPF_04211","HAJGLMEJ_03524","BGBDHPIL_03632","BONMBINM_04016","HDHIBFGB_03456","POCPDFCE_03641","FMNDBGIB_02795","LBKLGAEM_04240","GBFFMACB_03153"
"osmY_3","","Osmotically-inducible protein Y",581,581,1,1,6213,NA,NA,"",617,617,617,"OMEBOICM_02363","OCHGHCBG_01911","HECGGPDK_01756","OIEPJHKP_00760","ABGDGJIO_01247","HEJLPIII_00353","ENBCENPF_03541","HAJGLMEJ_02678","BGBDHPIL_02267","BONMBINM_02659","HDHIBFGB_00965","POCPDFCE_01504","FMNDBGIB_02071","LBKLGAEM_01992","GBFFMACB_03955"
"gtfA","","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit",581,581,1,1,5769,NA,NA,"",1220,1220,1220,"OMEBOICM_01699","OCHGHCBG_01195","HECGGPDK_03513","OIEPJHKP_02763","ABGDGJIO_03661","HEJLPIII_03079","ENBCENPF_03283","HAJGLMEJ_02140","BGBDHPIL_01850","BONMBINM_01449","HDHIBFGB_01788","POCPDFCE_02287","FMNDBGIB_02356","LBKLGAEM_03315","GBFFMACB_04096"
"yeeA","","Inner membrane protein YeeA",581,581,1,1,5724,NA,NA,"",1058,1058,1058,"OMEBOICM_04426","OCHGHCBG_01154","HECGGPDK_03992","OIEPJHKP_02804","ABGDGJIO_03620","HEJLPIII_03120","ENBCENPF_03324","HAJGLMEJ_03975","BGBDHPIL_01809","BONMBINM_01408","HDHIBFGB_01829","POCPDFCE_03194","FMNDBGIB_03721","LBKLGAEM_03356","GBFFMACB_03905"
"eutD","","Ethanolamine utilization protein EutD",581,581,1,1,4034,NA,NA,"",1016,1016,1016,"OMEBOICM_01250","OCHGHCBG_03219","HECGGPDK_02624","OIEPJHKP_03149","ABGDGJIO_02636","HEJLPIII_01354","ENBCENPF_02892","HAJGLMEJ_00878","BGBDHPIL_01269","BONMBINM_01206","HDHIBFGB_00139","POCPDFCE_01355","FMNDBGIB_00361","LBKLGAEM_02588","GBFFMACB_01103"
"group_6529","","hypothetical protein",581,581,1,1,2353,NA,NA,"",389,389,389,"OMEBOICM_03830","OCHGHCBG_03782","HECGGPDK_04274","OIEPJHKP_03342","ABGDGJIO_04473","HEJLPIII_03433","ENBCENPF_03044","HAJGLMEJ_03419","BGBDHPIL_04008","BONMBINM_04248","HDHIBFGB_02274","POCPDFCE_00503","FMNDBGIB_03057","LBKLGAEM_03416","GBFFMACB_03357"
"eae","","Invasin",581,581,1,1,4831,NA,NA,"",734,1424,1422,"OMEBOICM_01729","OCHGHCBG_02977","HECGGPDK_00631","OIEPJHKP_01628","ABGDGJIO_02313","HEJLPIII_00549","ENBCENPF_01188","HAJGLMEJ_02830","BGBDHPIL_01372","BONMBINM_02510","HDHIBFGB_00660","POCPDFCE_03405","FMNDBGIB_01523","LBKLGAEM_01258","GBFFMACB_01492"
"mdoB","","Phosphoglycerol transferase I",581,581,1,1,6196,NA,NA,"",2291,2291,2291,"OMEBOICM_02383","OCHGHCBG_01931","HECGGPDK_01736","OIEPJHKP_00780","ABGDGJIO_01267","HEJLPIII_00333","ENBCENPF_03561","HAJGLMEJ_02698","BGBDHPIL_02247","BONMBINM_02639","HDHIBFGB_00945","POCPDFCE_03541","FMNDBGIB_04281","LBKLGAEM_01972","GBFFMACB_03464"
