"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR28323381","SRR8280066","SRR14766395","SRR14766367","NDSU17","SRR14766454","SRR14766374","SRR11101171","SRR7011986","SRR5000227","SRR27714918","SRR5000221","SRR2096623","SRR2994394","NDSU13"
"fbaB","","Fructose-bisphosphate aldolase class 1",581,581,1,1,5861,NA,NA,"",1052,1052,1052,"AAOAKINP_03490","FLNDLMAF_02861","HEGDAGBG_03376","OOJFKJFD_02681","OMAFMDHC_03495","DHLDAANJ_02981","OGNHHAPP_03113","EPILMDOP_03017","OJOAJMDO_03577","FKHFPJNE_03330","JDGPEFCB_03493","EKBIAHBP_03483","GEOHAANM_02521","NNGIMOCL_02916","GBFFMACB_03820"
"ycaD","","putative MFS-type transporter YcaD",581,581,1,1,4370,NA,NA,"",1148,1148,1148,"AAOAKINP_01572","FLNDLMAF_01836","HEGDAGBG_01356","OOJFKJFD_00163","OMAFMDHC_00994","DHLDAANJ_02476","OGNHHAPP_02679","EPILMDOP_00699","OJOAJMDO_01094","FKHFPJNE_01069","JDGPEFCB_00830","EKBIAHBP_01724","GEOHAANM_03316","NNGIMOCL_01650","GBFFMACB_02692"
"fadJ","","Fatty acid oxidation complex subunit alpha",581,581,1,1,3949,NA,NA,"",2147,2147,2147,"AAOAKINP_02930","FLNDLMAF_01540","HEGDAGBG_01812","OOJFKJFD_01510","OMAFMDHC_02192","DHLDAANJ_01997","OGNHHAPP_02351","EPILMDOP_00470","OJOAJMDO_03010","FKHFPJNE_02222","JDGPEFCB_02594","EKBIAHBP_02922","GEOHAANM_01172","NNGIMOCL_02048","GBFFMACB_01789"
"pepA","","Cytosol aminopeptidase",581,581,1,1,6108,NA,NA,"",1511,1511,1511,"AAOAKINP_02086","FLNDLMAF_04509","HEGDAGBG_00253","OOJFKJFD_02332","OMAFMDHC_01349","DHLDAANJ_04117","OGNHHAPP_00253","EPILMDOP_02516","OJOAJMDO_01524","FKHFPJNE_01424","JDGPEFCB_01344","EKBIAHBP_02140","GEOHAANM_01502","NNGIMOCL_04618","GBFFMACB_01189"
"kdpD","","Sensor protein KdpD",581,581,1,1,298,NA,NA,"",2684,2684,2684,"AAOAKINP_04042","FLNDLMAF_03542","HEGDAGBG_03771","OOJFKJFD_03815","OMAFMDHC_03970","DHLDAANJ_03646","OGNHHAPP_03292","EPILMDOP_04180","OJOAJMDO_04421","FKHFPJNE_03670","JDGPEFCB_03940","EKBIAHBP_03662","GEOHAANM_02214","NNGIMOCL_04375","GBFFMACB_00049"
"group_6432","ttuB_1","Putative tartrate transporter",581,581,1,1,4526,NA,NA,"",1376,1376,1376,"AAOAKINP_01712","FLNDLMAF_01976","HEGDAGBG_01496","OOJFKJFD_00303","OMAFMDHC_00854","DHLDAANJ_01684","OGNHHAPP_02539","EPILMDOP_00839","OJOAJMDO_01234","FKHFPJNE_00928","JDGPEFCB_00970","EKBIAHBP_01584","GEOHAANM_04199","NNGIMOCL_01790","GBFFMACB_03781"
"galR","","HTH-type transcriptional regulator GalR",581,581,1,1,2896,NA,NA,"",1028,1028,1028,"AAOAKINP_01082","FLNDLMAF_00168","HEGDAGBG_02056","OOJFKJFD_00826","OMAFMDHC_00340","DHLDAANJ_01123","OGNHHAPP_01229","EPILMDOP_02000","OJOAJMDO_03286","FKHFPJNE_02774","JDGPEFCB_00340","EKBIAHBP_01061","GEOHAANM_00340","NNGIMOCL_00328","GBFFMACB_02096"
"caiA_2","","Crotonobetainyl-CoA reductase",581,581,1,1,2524,NA,NA,"",1142,1142,1142,"AAOAKINP_03878","FLNDLMAF_03378","HEGDAGBG_03706","OOJFKJFD_03245","OMAFMDHC_03806","DHLDAANJ_02849","OGNHHAPP_03826","EPILMDOP_02856","OJOAJMDO_02364","FKHFPJNE_03443","JDGPEFCB_03875","EKBIAHBP_03826","GEOHAANM_02748","NNGIMOCL_03135","GBFFMACB_04204"
"mgtA","","Magnesium-transporting ATPase, P-type 1",581,581,1,1,6087,NA,NA,"",2708,2708,2708,"AAOAKINP_02107","FLNDLMAF_03189","HEGDAGBG_00232","OOJFKJFD_02353","OMAFMDHC_01370","DHLDAANJ_00552","OGNHHAPP_00232","EPILMDOP_02495","OJOAJMDO_01545","FKHFPJNE_01445","JDGPEFCB_01365","EKBIAHBP_02119","GEOHAANM_01523","NNGIMOCL_02459","GBFFMACB_01210"
"ygiF","","Inorganic triphosphatase",581,581,1,1,2695,NA,NA,"",1301,1301,1301,"AAOAKINP_00888","FLNDLMAF_03882","HEGDAGBG_02530","OOJFKJFD_00632","OMAFMDHC_00146","DHLDAANJ_03881","OGNHHAPP_02043","EPILMDOP_04479","OJOAJMDO_00564","FKHFPJNE_03865","JDGPEFCB_00146","EKBIAHBP_01255","GEOHAANM_00146","NNGIMOCL_00522","GBFFMACB_00586"
"pdxJ","","Pyridoxine 5'-phosphate synthase",581,581,1,1,4077,NA,NA,"",731,731,731,"AAOAKINP_02730","FLNDLMAF_01340","HEGDAGBG_02012","OOJFKJFD_01310","OMAFMDHC_01992","DHLDAANJ_03059","OGNHHAPP_03927","EPILMDOP_03455","OJOAJMDO_01309","FKHFPJNE_02422","JDGPEFCB_02394","EKBIAHBP_02722","GEOHAANM_03222","NNGIMOCL_03826","GBFFMACB_00989"
"fabZ","","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ",581,581,1,1,2362,NA,NA,"",455,455,455,"AAOAKINP_03721","FLNDLMAF_03221","HEGDAGBG_03548","OOJFKJFD_03088","OMAFMDHC_03647","DHLDAANJ_02175","OGNHHAPP_03663","EPILMDOP_03570","OJOAJMDO_03828","FKHFPJNE_03600","JDGPEFCB_03718","EKBIAHBP_04355","GEOHAANM_03969","NNGIMOCL_04339","GBFFMACB_03365"
"zinT","","Metal-binding protein ZinT",581,581,1,1,5392,NA,NA,"",650,650,650,"AAOAKINP_00129","FLNDLMAF_02563","HEGDAGBG_02825","OOJFKJFD_02104","OMAFMDHC_02936","DHLDAANJ_03544","OGNHHAPP_01764","EPILMDOP_00208","OJOAJMDO_01734","FKHFPJNE_00133","JDGPEFCB_03189","EKBIAHBP_00614","GEOHAANM_01865","NNGIMOCL_01205","GBFFMACB_03514"
"leuD","","3-isopropylmalate dehydratase small subunit",581,581,1,1,796,NA,NA,"",626,626,626,"AAOAKINP_03144","FLNDLMAF_02108","HEGDAGBG_03113","OOJFKJFD_01891","OMAFMDHC_03149","DHLDAANJ_01392","OGNHHAPP_02935","EPILMDOP_00975","OJOAJMDO_03486","FKHFPJNE_03035","JDGPEFCB_02808","EKBIAHBP_03137","GEOHAANM_00815","NNGIMOCL_00749","GBFFMACB_04491"
"group_6441","","hypothetical protein",581,581,1,1,6057,NA,NA,"",1343,1343,1343,"AAOAKINP_02136","FLNDLMAF_03160","HEGDAGBG_00203","OOJFKJFD_02382","OMAFMDHC_01399","DHLDAANJ_00581","OGNHHAPP_00203","EPILMDOP_02466","OJOAJMDO_01574","FKHFPJNE_01474","JDGPEFCB_01394","EKBIAHBP_02090","GEOHAANM_01552","NNGIMOCL_02488","GBFFMACB_01239"
"ydjE_1","","Inner membrane metabolite transport protein YdjE",581,581,1,1,5362,NA,NA,"",1379,1379,1379,"AAOAKINP_00159","FLNDLMAF_02533","HEGDAGBG_02855","OOJFKJFD_02134","OMAFMDHC_02906","DHLDAANJ_03695","OGNHHAPP_01734","EPILMDOP_00178","OJOAJMDO_01764","FKHFPJNE_00163","JDGPEFCB_03219","EKBIAHBP_00584","GEOHAANM_01895","NNGIMOCL_01175","GBFFMACB_03484"
"group_6443","","hypothetical protein",581,581,1,1,11,NA,NA,"",1202,1202,1202,"AAOAKINP_01899","FLNDLMAF_03731","HEGDAGBG_00440","OOJFKJFD_03868","OMAFMDHC_01161","DHLDAANJ_03731","OGNHHAPP_00440","EPILMDOP_04414","OJOAJMDO_02774","FKHFPJNE_01236","JDGPEFCB_01157","EKBIAHBP_02326","GEOHAANM_01315","NNGIMOCL_02694","GBFFMACB_03589"
"eno","","Enolase",581,581,1,1,2960,NA,NA,"",1298,1298,1298,"AAOAKINP_01148","FLNDLMAF_00234","HEGDAGBG_02122","OOJFKJFD_00892","OMAFMDHC_00407","DHLDAANJ_02580","OGNHHAPP_01295","EPILMDOP_01653","OJOAJMDO_02149","FKHFPJNE_02708","JDGPEFCB_00406","EKBIAHBP_00994","GEOHAANM_00406","NNGIMOCL_00262","GBFFMACB_02162"
"group_6445","","hypothetical protein",581,581,1,1,4792,NA,NA,"",1526,1532,1531,"AAOAKINP_00675","FLNDLMAF_00977","HEGDAGBG_01197","OOJFKJFD_03329","OMAFMDHC_02393","DHLDAANJ_02602","OGNHHAPP_00512","EPILMDOP_03872","OJOAJMDO_00051","FKHFPJNE_00679","JDGPEFCB_01937","EKBIAHBP_00068","GEOHAANM_03873","NNGIMOCL_03508","GBFFMACB_01529"
"ttrC","","Tetrathionate reductase subunit C",581,581,1,1,5256,NA,NA,"",1022,1022,1022,"AAOAKINP_00256","FLNDLMAF_02436","HEGDAGBG_02952","OOJFKJFD_02231","OMAFMDHC_02809","DHLDAANJ_00321","OGNHHAPP_01637","EPILMDOP_00081","OJOAJMDO_01862","FKHFPJNE_00260","JDGPEFCB_03316","EKBIAHBP_00487","GEOHAANM_01992","NNGIMOCL_01078","GBFFMACB_02815"
"group_6447","","hypothetical protein",581,581,1,1,2925,NA,NA,"",395,395,395,"AAOAKINP_01113","FLNDLMAF_00199","HEGDAGBG_02087","OOJFKJFD_00857","OMAFMDHC_00371","DHLDAANJ_01154","OGNHHAPP_01260","EPILMDOP_02031","OJOAJMDO_03317","FKHFPJNE_02743","JDGPEFCB_00371","EKBIAHBP_01030","GEOHAANM_00371","NNGIMOCL_00297","GBFFMACB_02127"
"leuS","","Leucine--tRNA ligase",581,581,1,1,350,NA,NA,"",2582,2582,2582,"AAOAKINP_03985","FLNDLMAF_03485","HEGDAGBG_03828","OOJFKJFD_03758","OMAFMDHC_03913","DHLDAANJ_01060","OGNHHAPP_03349","EPILMDOP_02784","OJOAJMDO_02714","FKHFPJNE_03727","JDGPEFCB_03997","EKBIAHBP_03719","GEOHAANM_02157","NNGIMOCL_03385","GBFFMACB_00106"
"actP_2","","Copper-transporting P-type ATPase",581,581,1,1,773,NA,NA,"",2303,2303,2303,"AAOAKINP_03166","FLNDLMAF_02130","HEGDAGBG_03135","OOJFKJFD_01869","OMAFMDHC_03171","DHLDAANJ_01414","OGNHHAPP_02913","EPILMDOP_00997","OJOAJMDO_03464","FKHFPJNE_03013","JDGPEFCB_02830","EKBIAHBP_03159","GEOHAANM_00837","NNGIMOCL_00771","GBFFMACB_00464"
"aroF","","Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive",581,581,1,1,3015,NA,NA,"",1070,1079,1070,"AAOAKINP_01401","FLNDLMAF_00487","HEGDAGBG_02375","OOJFKJFD_03058","OMAFMDHC_00660","DHLDAANJ_04039","OGNHHAPP_01548","EPILMDOP_04507","OJOAJMDO_03785","FKHFPJNE_02455","JDGPEFCB_00659","EKBIAHBP_00743","GEOHAANM_01598","NNGIMOCL_00009","GBFFMACB_03235"
"caiB","","L-carnitine CoA-transferase",581,581,1,1,2525,NA,NA,"",1217,1217,1217,"AAOAKINP_03879","FLNDLMAF_03379","HEGDAGBG_03707","OOJFKJFD_03246","OMAFMDHC_03807","DHLDAANJ_02848","OGNHHAPP_03825","EPILMDOP_02855","OJOAJMDO_02363","FKHFPJNE_03442","JDGPEFCB_03876","EKBIAHBP_03825","GEOHAANM_02747","NNGIMOCL_03136","GBFFMACB_04203"
"rnb","","Exoribonuclease 2",581,581,1,1,4900,NA,NA,"",1934,1934,1934,"AAOAKINP_00571","FLNDLMAF_01080","HEGDAGBG_01093","OOJFKJFD_03433","OMAFMDHC_02497","DHLDAANJ_01300","OGNHHAPP_00616","EPILMDOP_01787","OJOAJMDO_00155","FKHFPJNE_00575","JDGPEFCB_01833","EKBIAHBP_00172","GEOHAANM_02660","NNGIMOCL_02214","GBFFMACB_01425"
"fic","","putative protein adenylyltransferase Fic",581,581,1,1,1629,NA,NA,"",602,602,602,"AAOAKINP_02682","FLNDLMAF_00839","HEGDAGBG_00788","OOJFKJFD_01262","OMAFMDHC_01625","DHLDAANJ_03618","OGNHHAPP_00874","EPILMDOP_01349","OJOAJMDO_00932","FKHFPJNE_01746","JDGPEFCB_02027","EKBIAHBP_02674","GEOHAANM_00664","NNGIMOCL_01587","GBFFMACB_01619"
"lsrE","","Putative epimerase LsrE",581,581,1,1,2203,NA,NA,"",764,764,764,"AAOAKINP_04145","FLNDLMAF_03963","HEGDAGBG_03973","OOJFKJFD_04123","OMAFMDHC_04107","DHLDAANJ_02761","OGNHHAPP_03528","EPILMDOP_02288","OJOAJMDO_02541","FKHFPJNE_04065","JDGPEFCB_04142","EKBIAHBP_04037","GEOHAANM_03388","NNGIMOCL_03240","GBFFMACB_02403"
"kdpB","","Potassium-transporting ATPase ATP-binding subunit",581,581,1,1,296,NA,NA,"",2045,2048,2047,"AAOAKINP_04044","FLNDLMAF_03544","HEGDAGBG_03769","OOJFKJFD_03817","OMAFMDHC_03972","DHLDAANJ_03648","OGNHHAPP_03290","EPILMDOP_04182","OJOAJMDO_04419","FKHFPJNE_03668","JDGPEFCB_03938","EKBIAHBP_03660","GEOHAANM_02216","NNGIMOCL_04377","GBFFMACB_00047"
"group_6456","","hypothetical protein",581,581,1,1,6074,NA,NA,"",776,776,776,"AAOAKINP_02120","FLNDLMAF_03176","HEGDAGBG_00219","OOJFKJFD_02366","OMAFMDHC_01383","DHLDAANJ_00565","OGNHHAPP_00219","EPILMDOP_02482","OJOAJMDO_01558","FKHFPJNE_01458","JDGPEFCB_01378","EKBIAHBP_02106","GEOHAANM_01536","NNGIMOCL_02472","GBFFMACB_01223"
"lplA","","Lipoate-protein ligase A",581,581,1,1,6224,NA,NA,"",1016,1016,1016,"AAOAKINP_01975","FLNDLMAF_03655","HEGDAGBG_00364","OOJFKJFD_03944","OMAFMDHC_01237","DHLDAANJ_02046","OGNHHAPP_00364","EPILMDOP_03270","OJOAJMDO_02850","FKHFPJNE_01312","JDGPEFCB_01233","EKBIAHBP_02250","GEOHAANM_01391","NNGIMOCL_02770","GBFFMACB_03966"
"sapC","","Peptide transport system permease protein SapC",581,581,1,1,4909,NA,NA,"",890,890,890,"AAOAKINP_00564","FLNDLMAF_01087","HEGDAGBG_01086","OOJFKJFD_03440","OMAFMDHC_02504","DHLDAANJ_01293","OGNHHAPP_00623","EPILMDOP_01780","OJOAJMDO_00162","FKHFPJNE_00568","JDGPEFCB_01826","EKBIAHBP_00179","GEOHAANM_02667","NNGIMOCL_02221","GBFFMACB_01418"
"fes_1","","Enterochelin esterase",581,581,1,1,3101,NA,NA,"",1244,1244,1244,"AAOAKINP_01328","FLNDLMAF_00414","HEGDAGBG_02302","OOJFKJFD_02985","OMAFMDHC_00587","DHLDAANJ_00756","OGNHHAPP_01475","EPILMDOP_01475","OJOAJMDO_02329","FKHFPJNE_02528","JDGPEFCB_00586","EKBIAHBP_00816","GEOHAANM_01671","NNGIMOCL_00082","GBFFMACB_04497"
"dusA","","tRNA-dihydrouridine(20/20a) synthase",581,581,1,1,2049,NA,NA,"",998,998,998,"AAOAKINP_02296","FLNDLMAF_03000","HEGDAGBG_00043","OOJFKJFD_02542","OMAFMDHC_01559","DHLDAANJ_03166","OGNHHAPP_00043","EPILMDOP_04006","OJOAJMDO_04201","FKHFPJNE_01634","JDGPEFCB_01554","EKBIAHBP_01929","GEOHAANM_03906","NNGIMOCL_02648","GBFFMACB_03302"
"rplU","","50S ribosomal protein L21",581,581,1,1,2593,NA,NA,"",311,311,311,"AAOAKINP_00790","FLNDLMAF_03784","HEGDAGBG_02432","OOJFKJFD_00534","OMAFMDHC_00048","DHLDAANJ_00487","OGNHHAPP_01944","EPILMDOP_03135","OJOAJMDO_00662","FKHFPJNE_03963","JDGPEFCB_00048","EKBIAHBP_01353","GEOHAANM_00048","NNGIMOCL_00620","GBFFMACB_00684"
"ybeM","","Deaminated glutathione amidase",581,581,1,1,367,NA,NA,"",788,788,788,"AAOAKINP_03968","FLNDLMAF_03468","HEGDAGBG_03845","OOJFKJFD_03741","OMAFMDHC_03896","DHLDAANJ_01077","OGNHHAPP_03366","EPILMDOP_02767","OJOAJMDO_02697","FKHFPJNE_03744","JDGPEFCB_04014","EKBIAHBP_03736","GEOHAANM_02140","NNGIMOCL_03368","GBFFMACB_00123"
"rstA","","Transcriptional regulatory protein RstA",581,581,1,1,5161,NA,NA,"",731,731,731,"AAOAKINP_00348","FLNDLMAF_01304","HEGDAGBG_00870","OOJFKJFD_03484","OMAFMDHC_02717","DHLDAANJ_01435","OGNHHAPP_00839","EPILMDOP_03419","OJOAJMDO_00378","FKHFPJNE_00352","JDGPEFCB_01608","EKBIAHBP_00395","GEOHAANM_02274","NNGIMOCL_02437","GBFFMACB_00911"
"mdtC","","Multidrug resistance protein MdtC",581,581,1,1,5800,NA,NA,"",3080,3080,3080,"AAOAKINP_03502","FLNDLMAF_02849","HEGDAGBG_03388","OOJFKJFD_02693","OMAFMDHC_03507","DHLDAANJ_02969","OGNHHAPP_03125","EPILMDOP_03005","OJOAJMDO_03565","FKHFPJNE_03318","JDGPEFCB_03505","EKBIAHBP_03495","GEOHAANM_02533","NNGIMOCL_02904","GBFFMACB_03808"
"mdoG","","Glucans biosynthesis protein G",581,581,1,1,5512,NA,NA,"",1553,1553,1553,"AAOAKINP_00016","FLNDLMAF_02676","HEGDAGBG_02712","OOJFKJFD_01991","OMAFMDHC_03049","DHLDAANJ_02079","OGNHHAPP_01877","EPILMDOP_00321","OJOAJMDO_03247","FKHFPJNE_00020","JDGPEFCB_03076","EKBIAHBP_00727","GEOHAANM_03006","NNGIMOCL_01318","GBFFMACB_02013"
"dmsC_4","","Anaerobic dimethyl sulfoxide reductase chain C",581,581,1,1,4131,NA,NA,"",809,809,809,"AAOAKINP_02782","FLNDLMAF_01392","HEGDAGBG_01960","OOJFKJFD_01362","OMAFMDHC_02044","DHLDAANJ_03415","OGNHHAPP_03979","EPILMDOP_03507","OJOAJMDO_01361","FKHFPJNE_02370","JDGPEFCB_02446","EKBIAHBP_02774","GEOHAANM_03274","NNGIMOCL_03878","GBFFMACB_01041"
"ftsH","","ATP-dependent zinc metalloprotease FtsH",581,581,1,1,2603,NA,NA,"",1934,1943,1942,"AAOAKINP_00799","FLNDLMAF_03793","HEGDAGBG_02441","OOJFKJFD_00543","OMAFMDHC_00057","DHLDAANJ_00478","OGNHHAPP_01953","EPILMDOP_03144","OJOAJMDO_00653","FKHFPJNE_03954","JDGPEFCB_00057","EKBIAHBP_01344","GEOHAANM_00057","NNGIMOCL_00611","GBFFMACB_00675"
"rne","","Ribonuclease E",581,581,1,1,5473,NA,NA,"",3206,3206,3206,"AAOAKINP_00051","FLNDLMAF_02641","HEGDAGBG_02747","OOJFKJFD_02026","OMAFMDHC_03014","DHLDAANJ_02114","OGNHHAPP_01842","EPILMDOP_00286","OJOAJMDO_03212","FKHFPJNE_00055","JDGPEFCB_03111","EKBIAHBP_00692","GEOHAANM_03041","NNGIMOCL_01283","GBFFMACB_01978"
"nagK_2","","Fumarylpyruvate hydrolase",581,581,1,1,5901,NA,NA,"",701,701,701,"AAOAKINP_03454","FLNDLMAF_02897","HEGDAGBG_03340","OOJFKJFD_02645","OMAFMDHC_03459","DHLDAANJ_01877","OGNHHAPP_03077","EPILMDOP_03053","OJOAJMDO_04388","FKHFPJNE_03366","JDGPEFCB_03457","EKBIAHBP_03447","GEOHAANM_02485","NNGIMOCL_02952","GBFFMACB_02980"
"creC","","Sensor protein CreC",581,581,1,1,74,NA,NA,"",1424,1424,1424,"AAOAKINP_01961","FLNDLMAF_03669","HEGDAGBG_00378","OOJFKJFD_03930","OMAFMDHC_01223","DHLDAANJ_02032","OGNHHAPP_00378","EPILMDOP_03284","OJOAJMDO_02836","FKHFPJNE_01298","JDGPEFCB_01219","EKBIAHBP_02264","GEOHAANM_01377","NNGIMOCL_02756","GBFFMACB_03980"
"yqiK","","Inner membrane protein YqiK",581,581,1,1,2698,NA,NA,"",1679,1679,1679,"AAOAKINP_00891","FLNDLMAF_03885","HEGDAGBG_02533","OOJFKJFD_00635","OMAFMDHC_00149","DHLDAANJ_03878","OGNHHAPP_02046","EPILMDOP_04482","OJOAJMDO_00561","FKHFPJNE_03862","JDGPEFCB_00149","EKBIAHBP_01252","GEOHAANM_00149","NNGIMOCL_00519","GBFFMACB_00583"
"gltI","","Glutamate/aspartate import solute-binding protein",581,581,1,1,332,NA,NA,"",908,908,908,"AAOAKINP_04003","FLNDLMAF_03503","HEGDAGBG_03810","OOJFKJFD_03776","OMAFMDHC_03931","DHLDAANJ_01042","OGNHHAPP_03331","EPILMDOP_02802","OJOAJMDO_02732","FKHFPJNE_03709","JDGPEFCB_03979","EKBIAHBP_03701","GEOHAANM_02175","NNGIMOCL_03403","GBFFMACB_00088"
"aas","","Bifunctional protein Aas",581,581,1,1,2897,NA,NA,"",2159,2159,2159,"AAOAKINP_01083","FLNDLMAF_00169","HEGDAGBG_02057","OOJFKJFD_00827","OMAFMDHC_00341","DHLDAANJ_01124","OGNHHAPP_01230","EPILMDOP_02001","OJOAJMDO_03287","FKHFPJNE_02773","JDGPEFCB_00341","EKBIAHBP_01060","GEOHAANM_00341","NNGIMOCL_00327","GBFFMACB_02097"
"degS","","Serine endoprotease DegS",581,581,1,1,2545,NA,NA,"",1070,1070,1070,"AAOAKINP_00744","FLNDLMAF_03738","HEGDAGBG_02386","OOJFKJFD_00488","OMAFMDHC_00003","DHLDAANJ_00533","OGNHHAPP_01898","EPILMDOP_03089","OJOAJMDO_00708","FKHFPJNE_04008","JDGPEFCB_00003","EKBIAHBP_01399","GEOHAANM_00003","NNGIMOCL_00666","GBFFMACB_00730"
"group_6475","","hypothetical protein",581,581,1,1,779,NA,NA,"",527,527,527,"AAOAKINP_03161","FLNDLMAF_02125","HEGDAGBG_03130","OOJFKJFD_01874","OMAFMDHC_03166","DHLDAANJ_01409","OGNHHAPP_02918","EPILMDOP_00992","OJOAJMDO_03469","FKHFPJNE_03018","JDGPEFCB_02825","EKBIAHBP_03154","GEOHAANM_00832","NNGIMOCL_00766","GBFFMACB_00469"
"rlmG","","Ribosomal RNA large subunit methyltransferase G",581,581,1,1,2678,NA,NA,"",1136,1136,1136,"AAOAKINP_00870","FLNDLMAF_03864","HEGDAGBG_02512","OOJFKJFD_00614","OMAFMDHC_00128","DHLDAANJ_00407","OGNHHAPP_02025","EPILMDOP_03215","OJOAJMDO_00582","FKHFPJNE_03883","JDGPEFCB_00128","EKBIAHBP_01273","GEOHAANM_00128","NNGIMOCL_00540","GBFFMACB_00604"
"dgcQ","","putative diguanylate cyclase DgcQ",581,581,1,1,4608,NA,NA,"",1712,1712,1712,"AAOAKINP_01785","FLNDLMAF_04073","HEGDAGBG_01569","OOJFKJFD_00376","OMAFMDHC_00781","DHLDAANJ_02725","OGNHHAPP_03794","EPILMDOP_04637","OJOAJMDO_03024","FKHFPJNE_00855","JDGPEFCB_01043","EKBIAHBP_01511","GEOHAANM_02877","NNGIMOCL_01863","GBFFMACB_02239"
"mreB","","Cell shape-determining protein MreB",581,581,1,1,1962,NA,NA,"",1043,1043,1043,"AAOAKINP_04499","FLNDLMAF_04416","HEGDAGBG_04533","OOJFKJFD_04422","OMAFMDHC_04419","DHLDAANJ_02891","OGNHHAPP_04388","EPILMDOP_04251","OJOAJMDO_04237","FKHFPJNE_04389","JDGPEFCB_04498","EKBIAHBP_04482","GEOHAANM_04344","NNGIMOCL_04444","GBFFMACB_03643"
"amiA","","N-acetylmuramoyl-L-alanine amidase AmiA",581,581,1,1,4018,NA,NA,"",869,869,869,"AAOAKINP_02860","FLNDLMAF_01470","HEGDAGBG_01882","OOJFKJFD_01440","OMAFMDHC_02122","DHLDAANJ_00953","OGNHHAPP_02421","EPILMDOP_00539","OJOAJMDO_01439","FKHFPJNE_02292","JDGPEFCB_02524","EKBIAHBP_02852","GEOHAANM_01242","NNGIMOCL_02118","GBFFMACB_01119"
"yrbL","","putative protein YrbL",581,581,1,1,2571,NA,NA,"",632,632,632,"AAOAKINP_00768","FLNDLMAF_03762","HEGDAGBG_02410","OOJFKJFD_00512","OMAFMDHC_00027","DHLDAANJ_00509","OGNHHAPP_01922","EPILMDOP_03113","OJOAJMDO_00684","FKHFPJNE_03984","JDGPEFCB_00027","EKBIAHBP_01375","GEOHAANM_00027","NNGIMOCL_00642","GBFFMACB_00706"
"group_6481","","hypothetical protein",581,581,1,1,143,NA,NA,"",494,494,494,"AAOAKINP_03079","FLNDLMAF_02042","HEGDAGBG_03048","OOJFKJFD_01956","OMAFMDHC_03084","DHLDAANJ_04285","OGNHHAPP_03000","EPILMDOP_00909","OJOAJMDO_04280","FKHFPJNE_03100","JDGPEFCB_02743","EKBIAHBP_03071","GEOHAANM_00750","NNGIMOCL_00684","GBFFMACB_04428"
"group_6482","","hypothetical protein",581,581,1,1,4007,NA,NA,"",539,539,539,"AAOAKINP_02871","FLNDLMAF_01481","HEGDAGBG_01871","OOJFKJFD_01451","OMAFMDHC_02133","DHLDAANJ_00964","OGNHHAPP_02410","EPILMDOP_00528","OJOAJMDO_01450","FKHFPJNE_02281","JDGPEFCB_02535","EKBIAHBP_02863","GEOHAANM_01231","NNGIMOCL_02107","GBFFMACB_01130"
"acs_2","","Acetyl-coenzyme A synthetase",581,581,1,1,753,NA,NA,"",1796,1796,1796,"AAOAKINP_03185","FLNDLMAF_02149","HEGDAGBG_03154","OOJFKJFD_01850","OMAFMDHC_03190","DHLDAANJ_01433","OGNHHAPP_02894","EPILMDOP_01016","OJOAJMDO_03445","FKHFPJNE_02994","JDGPEFCB_02849","EKBIAHBP_03178","GEOHAANM_00856","NNGIMOCL_00790","GBFFMACB_00445"
"yhjB","","Putative HTH-type transcriptional regulator YhjB",581,581,1,1,1771,NA,NA,"",602,602,602,"AAOAKINP_02546","FLNDLMAF_00703","HEGDAGBG_00652","OOJFKJFD_01126","OMAFMDHC_01760","DHLDAANJ_00128","OGNHHAPP_01010","EPILMDOP_01213","OJOAJMDO_00796","FKHFPJNE_01882","JDGPEFCB_02162","EKBIAHBP_02538","GEOHAANM_00528","NNGIMOCL_01451","GBFFMACB_01755"
"mog","","Molybdopterin adenylyltransferase",581,581,1,1,56,NA,NA,"",590,590,590,"AAOAKINP_01943","FLNDLMAF_03687","HEGDAGBG_00396","OOJFKJFD_03912","OMAFMDHC_01205","DHLDAANJ_02014","OGNHHAPP_00396","EPILMDOP_03302","OJOAJMDO_02818","FKHFPJNE_01280","JDGPEFCB_01201","EKBIAHBP_02282","GEOHAANM_01359","NNGIMOCL_02738","GBFFMACB_04386"
"gltD","","Glutamate synthase [NADPH] small chain",581,581,1,1,2565,NA,NA,"",1418,1418,1418,"AAOAKINP_00762","FLNDLMAF_03756","HEGDAGBG_02404","OOJFKJFD_00506","OMAFMDHC_00021","DHLDAANJ_00515","OGNHHAPP_01916","EPILMDOP_03107","OJOAJMDO_00690","FKHFPJNE_03990","JDGPEFCB_00021","EKBIAHBP_01381","GEOHAANM_00021","NNGIMOCL_00648","GBFFMACB_00712"
